Language,City Name,Hotel Name,Positive,Negative
Chinese,Ankara,迪万卡拉汉酒店,1,2
Chinese,Ankara,安卡拉卡亚酒店,0,1
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,1,13
Chinese,Beijing,北京千禧大酒店,1,12
Chinese,Beijing,北京诺富特和平酒店,1,11
Chinese,Beijing,北京新世界酒店,1,8
Chinese,Beijing,北京华彬费尔蒙酒店,1,8
Chinese,Beijing,北京王府井希尔顿酒店,1,8
Chinese,Beijing,建国饭店,1,7
Chinese,Beijing,北京丽亭酒店,1,6
Chinese,Beijing,北京前门富力智选假日酒店,1,6
Chinese,Beijing,景山花园酒店,1,6
Chinese,Beijing,北京希尔顿逸林酒店,1,6
Chinese,Beijing,北京东方君悦大酒店,1,6
Chinese,Beijing,北京遨途机场酒店,1,6
Chinese,Beijing,北京东直门智选假日酒店,1,5
Chinese,Beijing,北京新侨饭店,1,5
Chinese,Beijing,北京上巢酒店,1,5
Chinese,Beijing,北京索菲特大酒店,1,5
Chinese,Beijing,北京金茂万丽酒店,1,5
Chinese,Beijing,北京天伦王朝酒店,1,5
Chinese,Beijing,北京国际艺苑大酒店,1,4
Chinese,Beijing,天伦松鹤大饭店,1,4
Chinese,Beijing,北京希尔顿酒店,1,4
Chinese,Beijing,北京东隅酒店,1,4
Chinese,Beijing,北京康莱德酒店,1,4
Chinese,Beijing,北京朝阳悠唐皇冠假日酒店,1,4
Chinese,Beijing,北平北京站青年旅舍,1,3
Chinese,Beijing,北京中奥马哥孛罗大酒店,1,3
Chinese,Beijing,北京香格里拉,1,3
Chinese,Beijing,北京瑰丽酒店,1,3
Chinese,Beijing,北京中关村皇冠假日酒店,1,3
Chinese,Beijing,北京通州北投希尔顿酒店,1,3
Chinese,Beijing,金茂北京威斯汀大饭店,1,3
Chinese,Beijing,北京新世纪日航饭店,0,3
Chinese,Beijing,北平国际青年旅舍,1,2
Chinese,Beijing,映向城严选酒店（王府井故宫店）,1,2
Chinese,Beijing,Stey公寓（北京工体三里屯店）,1,2
Chinese,Beijing,兰花宾馆,1,2
Chinese,Beijing,北京凯丽家酒店,1,2
Chinese,Beijing,北京丽亭华苑酒店,1,2
Chinese,Beijing,北京瑜舍酒店,1,2
Chinese,Beijing,北京饭店诺金-王府井,1,2
Chinese,Beijing,璞瑄酒店,1,2
Chinese,Beijing,映向城市文化酒店（北京天安门故宫店）,1,2
Chinese,Beijing,北京三里屯通盈中心洲际酒店,1,2
Chinese,Beijing,北京宝格丽酒店,1,2
Chinese,Beijing,北京山士知还四合院精品酒店,1,2
Chinese,Beijing,北京维景国际大酒店,1,2
Chinese,Beijing,北平小院设计酒店,1,2
Chinese,Beijing,北京柏悦酒店,1,2
Chinese,Beijing,北京上地智选假日酒店,1,2
Chinese,Beijing,北京临空智选假日酒店,1,2
Chinese,Beijing,北京英协万达嘉华酒店,1,2
Chinese,Beijing,北京海淀永泰福朋喜来登酒店,1,2
Chinese,Beijing,北京大兴希尔顿酒店,0,2
Chinese,Beijing,北京天地华典酒店式公寓（悠乐汇店）,0,2
Chinese,Beijing,JEN北京新国贸饭店-香格里拉集团,1,1
Chinese,Beijing,Stey酒店（北京天安门王府井店）,1,1
Chinese,Beijing,北京王府半岛酒店,1,1
Chinese,Beijing,北京什刹海皮影文化主题酒店,1,1
Chinese,Beijing,北京燕莎中心凯宾斯基饭店,1,1
Chinese,Beijing,北京锦绣庄四合院宾馆,1,1
Chinese,Beijing,北京金融街丽思卡尔顿酒店,1,1
Chinese,Beijing,base佰舍服务式公寓（北京工体店）,1,1
Chinese,Beijing,北京四季酒店,1,1
Chinese,Beijing,北京瑞吉酒店,1,1
Chinese,Beijing,北京JW万豪酒店,1,1
Chinese,Beijing,Beijing Yue Bin Ge Courtyard Hotel,1,1
Chinese,Beijing,北京丽思卡尔顿酒店,1,1
Chinese,Beijing,北京长峰假日酒店,1,1
Chinese,Beijing,隐世·叠院儿,1,1
Chinese,Beijing,北京亮马河大厦,1,1
Chinese,Beijing,北京海航大厦万豪酒店,1,1
Chinese,Beijing,北京行舍酒店•礼院（王府井四合院店）,1,1
Chinese,Beijing,唐府中式文化酒店-南锣鼓巷店,1,1
Chinese,Beijing,北京国宾酒店,1,1
Chinese,Beijing,北京宝辰饭店Howard Johnson,1,1
Chinese,Beijing,北京日坛宾馆,1,1
Chinese,Beijing,北京海淀雅乐轩酒店,1,1
Chinese,Beijing,北京贵州大厦,1,1
Chinese,Beijing,北京商务会馆,0,1
Chinese,Beijing,北京昆泰嘉华酒店,0,1
Chinese,Beijing,北京福庭酒店,0,1
Chinese,Berlin,雷迪森柏林亚历山大广场酒店,1,5
Chinese,Berlin,阿玛诺市中心大酒店,1,3
Chinese,Berlin,柏林墙东侧画廊舒尔茨酒店,1,2
Chinese,Berlin,柏林波茨坦广场斯堪迪克酒店,1,2
Chinese,Berlin,玛丽蒂姆柏林普洛艾特酒店,1,2
Chinese,Berlin,柏灵城中心假日酒店,1,2
Chinese,Berlin,"Hotel Berlin, Berlin, a member of Radisson Individuals",1,2
Chinese,Berlin,柏林米特莱昂纳多酒店,1,2
Chinese,Berlin,Park Plaza Berlin,1,2
Chinese,Berlin,The Westin Grand Berlin,1,2
Chinese,Berlin,柏灵莱昂纳多酒店,1,2
Chinese,Berlin,柏林海波龙酒店,1,1
Chinese,Berlin,Steigenberger Hotel Am Kanzleramt,1,1
Chinese,Berlin,阿勒托库单酒店,1,1
Chinese,Berlin,ARCOTEL John F Berlin,1,1
Chinese,Berlin,Hotel ROMY by AMANO,1,1
Chinese,Berlin,库尔菲尔斯滕斯堪柏林酒店,1,1
Chinese,Berlin,柏林亚历山大广场莱昂纳多皇家酒店,1,1
Chinese,Berlin,柏林欧洲之星酒店,1,1
Chinese,Berlin,INNSiDE by Meliá Berlin Mitte,1,1
Chinese,Berlin,柏林上西区一号汽车旅馆,1,1
Chinese,Berlin,SANA柏林酒店,1,1
Chinese,Berlin,加泰罗尼亚柏林米特酒店,1,1
Chinese,Berlin,38酒店（原施彻恩维特酒店）,1,1
Chinese,Berlin,Classik Hotel Alexander Plaza,1,1
Chinese,Berlin,Clipper Boardinghouse - Berlin-Gendarmenmarkt,1,1
Chinese,Berlin,Hampton By Hilton Berlin City East Side Gallery,1,1
Chinese,Berlin,柏林洲际酒店,1,1
Chinese,Berlin,柏林波茨坦广场皇冠假日酒店,0,1
Chinese,Berlin,HighPark by Palmira,1,0
Chinese,Berlin,aletto Hotel Potsdamer Platz,1,0
Chinese,Berlin,米特区查理检查哨NH精选酒店,1,0
Chinese,Berlin,Grimm's Potsdamer Platz,1,0
Chinese,Berlin,Precise Tale Berlin Potsdamer Platz,1,0
Chinese,Berlin,希尔顿柏林市西部酒店,1,0
Chinese,Berlin,智选假日酒店 - 柏林 - 亚历山大广场,1,0
Chinese,Berlin,Hotel AMO by AMANO Friedrichstraße,1,0
Chinese,Berlin,"Radisson Collection Hotel, Berlin",1,0
Chinese,Berlin,Vienna House by Wyndham Andel's Berlin,1,0
Chinese,Berlin,about:berlin Hotel,1,0
Chinese,Berlin,the niu Hide,1,0
Chinese,Berlin,Quentin XL Potsdamer Platz,1,0
Chinese,Berlin,柏林城西假日酒店,1,0
Chinese,Berlin,柏林市中心亚历山大广场希尔顿汉普顿酒店,1,0
Chinese,Berlin,柏林库丹姆H10酒店,1,0
Chinese,Berlin,AMANO East Side,1,0
Chinese,Berlin,"Crowne Plaza Berlin City Centre Ku'damm, an IHG Hotel",1,0
Chinese,Berlin,KPM Hotel & Residences,1,0
Chinese,Berlin,the niu Dwarf,1,0
Chinese,Berlin,斯图加特瑞拉科萨酒店,1,0
Chinese,Berlin,柏林美利亚酒店,1,0
Chinese,Berlin,柏林辉盛凯贝丽酒店式服务公寓,1,0
Chinese,Berlin,柏灵Q!酒店,1,0
Chinese,Berlin,柏灵纽沃酒店,1,0
Chinese,Berlin,AC Hotel by Marriott Berlin Humboldthain Park,1,0
Chinese,Berlin,Dorint Kurfürstendamm Berlin,1,0
Chinese,Berlin,Essential by Dorint Berlin-Adlershof,1,0
Chinese,Berlin,Grimm's Berlin Mitte,1,0
Chinese,Berlin,Hotel BIRGIT Berlin Mitte,1,0
Chinese,Berlin,"Hotel Indigo Berlin – Ku’damm, an IHG Hotel",1,0
Chinese,Berlin,"Lindner Hotel Berlin Ku'damm, part of JdV by Hyatt",1,0
Chinese,Berlin,NH酒店柏灵亚历山大广场店,1,0
Chinese,Berlin,Nena Apartments - Kreuzberg 61,1,0
Chinese,Berlin,Nena Apartments Hermannplatz,1,0
Chinese,Berlin,Schlosshotel Berlin by Patrick Hellmann,1,0
Chinese,Berlin,TITANIC Comfort Kurfürstendamm,1,0
Chinese,Berlin,Urbn Dreams II,1,0
Chinese,Berlin,Vienna House Easy by Wyndham Berlin Prenzlauer Berg,1,0
Chinese,Berlin,"Wilde Aparthotels by Staycity, Berlin, Checkpoint Charlie",1,0
Chinese,Berlin,acora Berlin Living the City,1,0
Chinese,Berlin,the niu Flash,1,0
Chinese,Berlin,文柏林贝勒福汽车旅馆,1,0
Chinese,Berlin,柏林-诗皮特尔玛克茨一号汽车旅馆,1,0
Chinese,Berlin,柏林凯撒学院酒店,1,0
Chinese,Berlin,柏林斯皮格尔腾精选酒店,1,0
Chinese,Berlin,柏林洪堡海因公园慕奇夕酒店,1,0
Chinese,Berlin,柏林滕珀尔霍夫美居酒店,1,0
Chinese,Berlin,柏林选帝侯大街阿德吉奥公寓式酒店,1,0
Chinese,Berlin,翰萨布里克酒店,1,0
Chinese,Berlin,蒂尔加藤1号汽车旅馆,1,0
Chinese,Berlin,贝多芬路德维希酒店,1,0
Chinese,Berlin,柏林中央车站城际酒店,0,5
Chinese,Berlin,martas Hotel Albrechtshof Berlin,0,1
Chinese,Berlin,柏林哈克市场便捷酒店,0,1
Chinese,Berlin,Boxi Studios Berlin,0,1
Chinese,Berlin,加特点查理酒店,0,1
Chinese,Berlin,Three Little Pigs Hostel - Your Berlin Castle,0,3
Chinese,Berlin,柏林君悦酒店,0,1
Chinese,Berlin,Hotel Grand Inn,0,1
Chinese,Berlin,柏林亚历山大广场美宁格酒店,0,1
Chinese,Bucharest,Sheraton Bucharest Hotel,0,3
Chinese,Bucharest,Le Blanc ApartHotel,1,1
