Language,City Name,Hotel Name,Positive,Negative
French,Ankara,Hotel Ickale,5,7
French,Ankara,New Park Hotel,5,5
French,Ankara,Hotel Cinnah,5,4
French,Ankara,Latanya Hotel Ankara,3,4
French,Ankara,ibis Ankara Airport Hotel,5,3
French,Ankara,Raymar Hotels Ankara,3,2
French,Ankara,Demora Hotel,5,1
French,Ankara,The Green Park Ankara,5,1
French,Ankara,Ankara HiltonSA,4,1
French,Ankara,The Wings Hotels Neva Palas,5,1
French,Beijing,The Great Wall Hotel Beijing,2,1
French,Beijing,New World Beijing Hotel,1,1
French,Beijing,"Holiday Inn Express Beijing Dongzhimen, an IHG Hotel",5,1
French,Beijing,Beijing Shangchao Hotel,4,1
French,Beijing,Novotel Beijing Peace,4,1
French,Beijing,Peking Youth Hostel,3,1
French,Beijing,Fairmont Beijing,1,1
French,Beijing,Sofitel Beijing Central,1,1
French,Beijing,Guo Ji Yi Yuan Hotel,1,1
French,Beijing,Happy Dragon Alley Hotel Beijing Tian AnMen Forbidden City,1,1
French,Berlin,Hotel Gat Point Charlie,5,7
French,Berlin,"Hotel Berlin, Berlin, a member of Radisson Individuals",5,7
French,Berlin,Riu Plaza Berlin,5,7
French,Berlin,"Holiday Inn Express Berlin City Centre, an IHG Hotel",5,7
French,Berlin,relexa hotel Stuttgarter Hof,5,7
French,Berlin,Catalonia Berlin Mitte,5,7
French,Berlin,"Holiday Inn Express - Berlin - Alexanderplatz, an IHG Hotel",5,7
French,Berlin,Leonardo Hotel Berlin,5,7
French,Berlin,"Crowne Plaza Berlin City Centre Ku'damm, an IHG Hotel",5,7
French,Berlin,SANA Berlin Hotel,5,7
French,Bucharest,Hilton Garden Inn Bucharest Old Town,5,7
French,Bucharest,Moxy Bucharest Old Town,5,5
French,Bucharest,Grand Boutique Hotel,5,4
French,Bucharest,"Central Hotel, Trademark Collection by Wyndham",5,4
French,Bucharest,"The Marmorosch Bucharest, Autograph Collection",5,3
French,Bucharest,Concorde Old Bucharest Hotel,5,3
French,Bucharest,Sarroglia Hotel,5,2
French,Bucharest,ibis Styles Bucharest City Center,5,1
French,Bucharest,Crystal Palace Hotel,5,1
French,Bucharest,Francesca Residence,5,1
French,Madrid,Riu Plaza España,5,7
French,Madrid,Axel Hotel Madrid - Adults Only,5,7
French,Madrid,Dear Hotel Madrid,5,7
French,Madrid,Gran View Apartments,5,7
French,Madrid,Lotus Opera House,5,7
French,Madrid,Eurostars Central,5,7
French,Madrid,Intur Palacio San Martin,5,7
French,Madrid,Room Mate Macarena – Gran Vía,5,7
French,Madrid,Novotel Madrid Center,5,7
French,Madrid,Soho Boutique Opera,6,7
French,New Delhi,Hotel Blue Pearl,6,7
French,New Delhi,"THE SINGH EMPIRE, New Delhi",6,7
French,New Delhi,"Holiday Inn New Delhi International Airport, an IHG Hotel",6,6
French,New Delhi,Radisson Blu Plaza Delhi Airport,6,6
French,New Delhi,Hotel Krishna - By RCG Hotels,2,5
French,New Delhi,Hotel Shri Vinayak at New Delhi Railway Station-By RCG Hotels,0,5
French,New Delhi,Hotel Hari Piorko,6,4
French,New Delhi,Hotel City Empire,6,4
French,New Delhi,Hotel Baba Deluxe -By RCG Hotels,6,4
French,New Delhi,"Staybook - Hotel City Stories - By Aira Xing, Paharganj, New Delhi",2,4
French,Paris,Hotel Armoni Paris,6,7
French,Paris,Pavillon Monceau,6,7
French,Paris,Motel One Paris-Porte Dorée,6,7
French,Paris,Hôtel Des Batignolles,6,7
French,Paris,Hôtel Toujours & Spa,6,7
French,Paris,Novotel Paris Porte Versailles,6,7
French,Paris,Secret de Paris - Hotel & Spa,6,7
French,Paris,Hotel Park Lane Paris,6,7
French,Paris,Hotel Eiffel Blomet,6,7
French,Paris,Best Western Plus Opéra Batignolles,6,7
French,Rome,Hotel 55 Fifty-Five - Maison d'Art Collection,6,7
French,Rome,Navona Central Suites,6,7
French,Rome,Fauno Urban Resort,6,7
French,Rome,Nazionale 51 Group,6,6
French,Rome,Hotel Modigliani,6,5
French,Rome,Chapter Roma,6,4
French,Rome,Elysium Suites collection,6,4
French,Rome,FOURHEADS Private Suites,6,4
French,Rome,Trevi Beau Boutique Hotel,6,4
French,Rome,Navona Living Rome,6,3
French,Seoul,57 Myeongdong Hostel,6,7
French,Seoul,Ibis Styles Ambassador Seoul Myeong-dong,6,7
French,Seoul,"Four Points by Sheraton Josun, Seoul Station",6,4
French,Seoul,Crown Park Hotel Seoul,6,4
French,Seoul,Travelodge Dongdaemun Seoul,6,4
French,Seoul,Hotel 8 Hours,6,3
French,Seoul,LOTTE City Hotel Myeongdong,6,3
French,Seoul,Kkajjamia,1,3
French,Seoul,Glue Hotel,6,2
French,Seoul,Hotel Gracery Seoul,6,2
French,Washington,Hotel Harrington,6,7
French,Washington,Hyatt Place Washington DC/US Capitol,6,7
French,Washington,"Holiday Inn Washington-Central/White House, an IHG Hotel",6,8
French,Washington,The Architect,6,8
French,Washington,Hyatt Place Washington DC/White House,6,8
French,Washington,"Club Quarters Hotel White House, Washington DC",6,8
French,Washington,Hotel Washington,6,8
French,Washington,Hilton Garden Inn Washington DC Downtown,6,8
French,Washington,Beacon Hotel & Corporate Quarters,6,8
French,Washington,State Plaza Hotel,6,8
