Language,City Name,Hotel Name,Positive,Negative
German,Ankara,Hotel Ickale,6,8
German,Ankara,New Park Hotel,6,8
German,Ankara,Hotel Cinnah,6,8
German,Ankara,The Green Park Ankara,6,8
German,Ankara,ibis Ankara Airport Hotel,6,8
German,Ankara,Ankara HiltonSA,6,7
German,Ankara,Kahya Hotel Ankara,6,5
German,Ankara,Grand Mercure Ankara,6,4
German,Ankara,Radisson Blu Ankara,6,4
German,Ankara,Ankara Plaza Hotel,4,4
German,Beijing,Grand Mercure Beijing Central,2,1
German,Beijing,Guo Ji Yi Yuan Hotel,1,1
German,Beijing,"Holiday Inn Express Beijing Temple of Heaven, an IHG Hotel",2,1
German,Beijing,Peking Youth Hostel,1,1
German,Beijing,"Holiday Inn Express Beijing Airport Zone, an IHG Hotel",1,1
German,Beijing,Park Plaza Beijing Wangfujing,6,0
German,Beijing,New World Beijing Hotel,4,0
German,Beijing,Beijing Unified Courtyard Hotel,2,0
German,Beijing,East Beijing,2,0
German,Beijing,Jianguo Hotel,2,0
German,Berlin,Hotel Kaiser,6,8
German,Berlin,Motel One Berlin-Upper West,6,8
German,Berlin,Hotel Vier Jahreszeiten Berlin City,6,8
German,Berlin,Leonardo Hotel Berlin,6,8
German,Berlin,easyHotel Berlin Hackescher Markt,6,8
German,Berlin,Comfort Hotel Lichtenberg,6,8
German,Berlin,Hotel Transit Loft,6,8
German,Berlin,Precise Tale Berlin Potsdamer Platz,6,8
German,Berlin,Hotel Lützow,6,8
German,Berlin,ALFA Hotel,6,8
German,Bucharest,Antique Hostel,6,7
German,Bucharest,Sarroglia Hotel,6,5
German,Bucharest,Hilton Garden Inn Bucharest Old Town,6,4
German,Bucharest,"The Marmorosch Bucharest, Autograph Collection",6,3
German,Bucharest,Hotel Les Jardins Carol,5,3
German,Bucharest,Sleep Inn Hostel,4,3
German,Bucharest,ibis Styles Bucharest City Center,6,2
German,Bucharest,Moxy Bucharest Old Town,6,2
German,Bucharest,WPML-APARTMENTS,3,2
German,Bucharest,Hotel Parliament,6,1
German,Madrid,Riu Plaza España,6,8
German,Madrid,Dear Hotel Madrid,6,8
German,Madrid,Axel Hotel Madrid - Adults Only,6,8
German,Madrid,Catalonia Gran Vía Madrid,6,8
German,Madrid,Vincci Soho,6,8
German,Madrid,Pestana CR7 Gran Vía Madrid,6,8
German,Madrid,Pestana Plaza Mayor Madrid,6,8
German,Madrid,Gran View Apartments,6,8
German,Madrid,Hotel Puerta America,6,8
German,Madrid,Intur Palacio San Martin,6,7
German,New Delhi,Hotel Blue Pearl,6,8
German,New Delhi,Hotel Nitya Maharani ' Near New Delhi Railway Station ',2,8
German,New Delhi,Hotel Grand Suites Delhi Airport By D Capitol,1,5
German,New Delhi,"THE SINGH EMPIRE, New Delhi",6,4
German,New Delhi,"Staybook - Hotel City Stories - By Aira Xing, Paharganj, New Delhi",2,4
German,New Delhi,Minimalist Poshtel & Suites,2,3
German,New Delhi,The LaLiT New Delhi,6,1
German,New Delhi,Staybook Hotel Atlanta New Delhi Railway Station Paharganj,0,1
German,New Delhi,"Crowne Plaza New Delhi Mayur Vihar Noida, an IHG Hotel",6,1
German,New Delhi,Hotel Tripple Tree - Karol Bagh,1,1
German,Paris,Novotel Paris Porte Versailles,6,8
German,Paris,Jardins Eiffel,6,8
German,Paris,Pullman Paris Montparnasse,6,8
German,Paris,Passy Eiffel,6,8
German,Paris,Laz' Hotel Spa Urbain Paris,6,5
German,Paris,Royal Madeleine Hotel & Spa,7,4
German,Paris,PLEY Hotel,7,4
German,Paris,Hotel West-End,7,4
German,Paris,B Montmartre,7,3
German,Paris,Hotel & Spa La Belle Juliette,7,3
German,Rome,Hotel 55 Fifty-Five - Maison d'Art Collection,7,8
German,Rome,The Spanish Suite Campo de' Fiori,7,8
German,Rome,Ripetta Luxurious Suites,7,7
German,Rome,Fauno Urban Resort,7,7
German,Rome,Tree Charme,7,6
German,Rome,Campo Marzio Luxury Suites,7,6
German,Rome,Relais Orso,7,5
German,Rome,Hotel Scenario,7,5
German,Rome,The Couper Colonna,7,4
German,Rome,Horti 14 Borgo Trastevere Hotel,7,4
German,Seoul,Toyoko Inn Seoul Gangnam,7,2
German,Seoul,Kkajjamia,1,0
German,Washington,Hotel Harrington,7,9
German,Washington,"Holiday Inn Washington-Central/White House, an IHG Hotel",7,9
German,Washington,Hyatt Place Washington DC/US Capitol,7,9
German,Washington,The Architect,7,9
German,Washington,Beacon Hotel & Corporate Quarters,7,9
German,Washington,Hyatt Place Washington DC/White House,7,9
German,Washington,State Plaza Hotel,7,9
German,Washington,Hotel Washington,7,8
German,Washington,"Vignette Collection Yours Truly DC, an IHG Hotel",7,8
German,Washington,Hamilton Hotel - Washington DC,7,8
