Language,City Name,Hotel Name,Positive,Negative
Italian,Ankara,New Park Hotel,5,3
Italian,Ankara,Hotel Ickale,5,3
Italian,Ankara,Demora Hotel,5,3
Italian,Ankara,Hotel Cinnah,5,3
Italian,Ankara,Best Western Plus Center Hotel,5,3
Italian,Ankara,Hotel Excellence Inn,0,2
Italian,Ankara,Asal Hotel,5,1
Italian,Ankara,Grand Sera Hotel,5,1
Italian,Ankara,Demonti Hotel,5,1
Italian,Ankara,Hotel Best,5,1
Italian,Beijing,Jianguo Hotel,2,1
Italian,Beijing,Novotel Beijing Peace,2,1
Italian,Beijing,Beijing Shangchao Hotel,1,1
Italian,Beijing,DoubleTree by Hilton Beijing,1,1
Italian,Beijing,"China World Hotel, Beijing",0,1
Italian,Beijing,Guo Ji Yi Yuan Hotel,0,1
Italian,Beijing,"Holiday Inn Express Beijing Airport Zone, an IHG Hotel",0,1
Italian,Beijing,Shangri-La Beijing,0,1
Italian,Beijing,"Holiday Inn Express Beijing Dongzhimen, an IHG Hotel",5,0
Italian,Beijing,Peking Youth Hostel,2,0
Italian,Berlin,MEININGER Hotel Berlin Hauptbahnhof,5,7
Italian,Berlin,Park Inn by Radisson Berlin Alexanderplatz,5,7
Italian,Berlin,H2 Hotel Berlin-Alexanderplatz,5,7
Italian,Berlin,Generator Berlin Alexanderplatz,5,7
Italian,Berlin,easyHotel Berlin Hackescher Markt,5,7
Italian,Berlin,Leonardo Hotel Berlin Mitte,5,7
Italian,Berlin,Hampton by Hilton Berlin City Centre Alexanderplatz,5,7
Italian,Berlin,Select Hotel Berlin Gendarmenmarkt,5,7
Italian,Berlin,TITANIC Comfort Mitte,5,7
Italian,Berlin,Generator Berlin Mitte,5,7
Italian,Bucharest,Atrium Hotel Bucharest City Center,5,7
Italian,Bucharest,Sunny Old Town Apartments,5,7
Italian,Bucharest,Grand Hotel Bucharest,5,7
Italian,Bucharest,Hotel Liad City Center,5,7
Italian,Bucharest,Moxy Bucharest Old Town,6,7
Italian,Bucharest,Smart Rooms Bucharest,6,7
Italian,Bucharest,Hotel Venezia by Zeus International,6,7
Italian,Bucharest,Decebal Residence Apartments,6,7
Italian,Bucharest,Relax Comfort Suites Hotel,6,7
Italian,Bucharest,Central Guesthouse,6,7
Italian,Madrid,JC Rooms Santo Domingo,6,7
Italian,Madrid,Generator Madrid,6,7
Italian,Madrid,Lotus Opera House,6,7
Italian,Madrid,Riu Plaza España,6,7
Italian,Madrid,NH Barajas Airport,6,7
Italian,Madrid,Catalonia Gran Vía Madrid,6,7
Italian,Madrid,Hostal Goyal Pizarro,6,7
Italian,Madrid,JC Rooms Chueca,6,7
Italian,Madrid,Soho Boutique Congreso,6,7
Italian,Madrid,Hotel Avenida Gran Vía,6,7
Italian,New Delhi,The Prime Delhi,6,7
Italian,New Delhi,Hotel Smart Plaza Delhi Airport,2,7
Italian,New Delhi,ibis New Delhi Aerocity - An Accor Brand,6,6
Italian,New Delhi,Smyle Inn - Best Value Hotel near New Delhi Station,6,5
Italian,New Delhi,Hotel Blue Pearl,6,5
Italian,New Delhi,"Holiday Inn New Delhi International Airport, an IHG Hotel",6,5
Italian,New Delhi,Hotel Mannat international by Mannat,6,4
Italian,New Delhi,"THE SINGH EMPIRE, New Delhi",6,4
Italian,New Delhi,Radisson Blu Plaza Delhi Airport,6,3
Italian,New Delhi,"Staybook - Hotel City Stories - By Aira Xing, Paharganj, New Delhi",2,3
Italian,Paris,Hotel CIS Paris Kellermann,6,7
Italian,Paris,B&B HOTEL Paris 17 Batignolles,6,7
Italian,Paris,Au Pacific Hotel,6,7
Italian,Paris,Tipi,6,7
Italian,Paris,Hotel Mimosa Paris,6,7
Italian,Paris,Hôtel Lodge In Paris 13,6,7
Italian,Paris,Hotel Nation Montmartre,6,7
Italian,Paris,Hôtel de Bordeaux,6,7
Italian,Paris,Best Western Allegro Nation,6,7
Italian,Paris,Solar Hotel,6,7
Italian,Rome,Hotel Giolli Nazionale,6,7
Italian,Rome,I Dormienti,6,7
