Language,City Name,Hotel Name,Positive,Negative
Korean,Ankara,New Park Hotel,3,2
Korean,Ankara,Deeps Hostel Ankara,1,2
Korean,Ankara,Best Western Plus Center Hotel,2,0
Korean,Ankara,Inn 14 Hostel,1,0
Korean,Ankara,Raymar Hotels Ankara,1,0
Korean,Ankara,아살 호텔(Asal Hotel),1,0
Korean,Ankara,ADEN Life,1,0
Korean,Ankara,Bugday Hotel,1,0
Korean,Ankara,Centrum Residence,1,0
Korean,Ankara,GOLAZ SUİT OTEL,1,0
Korean,Ankara,Sky Ankara Big Suit Home,1,0
Korean,Ankara,bahçelievler hotels,1,0
Korean,Beijing,"홀리데이 인 익스프레스 베이징 후아카이(Holiday Inn Express Beijing Huacai, an IHG Hotel)",1,1
Korean,Beijing,Grand Millennium Beijing,2,1
Korean,Beijing,노보텔 베이징 피스(Novotel Beijing Peace),1,1
Korean,Beijing,힐튼 베이징 왕푸징(Hilton Beijing Wangfujing),1,0
Korean,Beijing,"BEI Zhaolong Hotel, JdV by Hyatt",1,0
Korean,Beijing,"The Imperial Mansion, Beijing - Marriott Executive Apartments",1,0
Korean,Beijing,The Orchid Hotel - Old Town & Drum Tower,1,0
Korean,Beijing,뉴 월드 베이징 호텔(New World Beijing Hotel),1,0
Korean,Beijing,베이징 애 스콧 성시 보루이 서비스 아파트(Ascott Riverside Garden Beijing),1,0
Korean,Beijing,베이징 야시밍 하이솅 서비스 아파트(Beijing Yasiming Haisheng Service Apartment),1,0
Korean,Beijing,베이징 치안유안 호텔(Beijing Qianyuan Hotel),1,0
Korean,Beijing,"샹그릴라 차이나 월드 서밋 윙, 베이징(China World Summit Wing, Beijing)",1,0
Korean,Beijing,켈리스 코트야드 호텔(Kelly‘s Courtyard Hotel),1,0
Korean,Beijing,페어몬트 베이징(Fairmont Beijing),1,0
Korean,Beijing,"홀리데이 인 베이징 포커스 스퀘어 (Holiday Inn Beijing Focus Square, an IHG Hotel)",1,0
Korean,Berlin,마이닝거 호텔 베를린 하우프트반호프(MEININGER Hotel Berlin Hauptbahnhof),14,5
Korean,Berlin,NH 컬렉션 베를린 미테 암 체크포인트 찰리(NH Collection Berlin Mitte am Checkpoint Charlie),7,3
Korean,Berlin,Space Night Capsule Hostel,10,2
Korean,Berlin,a&o 베를린 하우프트반호프(a&o Berlin Hauptbahnhof),4,2
Korean,Berlin,유로스타 베를린(Eurostars Berlin),4,2
Korean,Berlin,알레토 호텔 쿠담 (aletto Hotel Kudamm),1,2
Korean,Berlin,Three Little Pigs Hostel - Your Berlin Castle,10,1
Korean,Berlin,풀만 베를린 슈바이처호프(Pullman Berlin Schweizerhof),1,1
Korean,Berlin,레오나르도 로열 호텔 베를린 알렉산더플라츠(Leonardo Royal Hotel Berlin Alexanderplatz),1,1
Korean,Berlin,모텔 원 베를린-알렉산더플라츠(Motel One Berlin-Alexanderplatz),1,1
Korean,Berlin,"홀리데이 인 익스프레스 베를린 시티 센터(Holiday Inn Express Berlin City Centre, an IHG Hotel)",1,1
Korean,Berlin,슐츠 호텔 베를린 월 앳 더 이스트 사이드 갤러리(Schulz Hotel Berlin Wall at the East Side Gallery),14,1
Korean,Berlin,호텔 아마노 그랜드 센트럴(Hotel AMANO Grand Central),13,1
Korean,Berlin,멜리아 베를린(Meliá Berlin),5,1
Korean,Berlin,"Hotel Berlin, Berlin, a member of Radisson Individuals",4,1
Korean,Bucharest,노보텔 부쿠레슈티 시티 센터(Novotel Bucharest City Centre),0,1
Korean,Bucharest,Sunrise Apartments,1,0
Korean,Bucharest,Park Inn by Radisson Bucharest Hotel & Residence,1,0
Korean,Bucharest,그랜드 호텔 콘티넨털(Grand Hotel Continental),1,0
Korean,Bucharest,유로파 로얄 부쿠레슈티(Europa Royale Bucharest),1,0
Korean,Bucharest,호텔 베르텔로트(Hotel Berthelot),1,0
Korean,Madrid,오케이 호스텔 마드리드(Ok Hostel Madrid),14,1
Korean,Madrid,아파르타멘토스 후안 브라보(Apartamentos Juan Bravo),1,1
Korean,Madrid,AVA Rooms,0,1
Korean,Madrid,CH Rayuela,0,1
Korean,Madrid,Hostal Pio Centro,0,1
Korean,Madrid,호스탈 프라다(Hostal Prada),4,0
Korean,Madrid,Bob W Arte,1,0
Korean,Madrid,Home Suite Home Gran Via,1,0
Korean,Madrid,호스탈 마리아 크리스티나(Hostal Maria Cristina),1,0
Korean,Madrid,Hostal Gaudí,1,0
Korean,Madrid,JC 룸스 산타 아나(JC Rooms Santa Ana),1,0
Korean,Madrid,Residencia Universitaria Claudio Coello,1,0
Korean,Madrid,Room Plaza España,1,0
Korean,New Delhi,"Hotel Apple Inn, New Delhi Railway Station",1,1
Korean,New Delhi,뉴델리 YMCA 투어리스트 호스텔(New Delhi YMCA Tourist Hostel),0,1
Korean,New Delhi,"프라이드 플라자 호텔, 에어로시티 뉴델리(Pride Plaza Hotel, Aerocity New Delhi)",1,1
Korean,New Delhi,하얏트 리젠시 델리(Hyatt Regency Delhi),3,0
Korean,New Delhi,S B GUEST HOUSE Near New Delhi Railway Station,2,0
Korean,New Delhi,Hotel Ritz,1,0
Korean,New Delhi,Aloft New Delhi Aerocity,1,0
Korean,New Delhi,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel",1,0
Korean,New Delhi,Hotel Royal Inn igi,1,0
Korean,New Delhi,"The Connaught, New Delhi- IHCL SeleQtions",1,0
Korean,New Delhi,The Prime Delhi,1,0
Korean,New Delhi,bloomrooms @ Janpath,1,0
Korean,New Delhi,래디슨 블루 플라자 델리 에어포트(Radisson Blu Plaza Delhi Airport),1,0
Korean,New Delhi,메이든스 호텔 뉴델리(Maidens Hotel New Delhi),1,0
Korean,Paris,오 퍼시픽 호텔(Au Pacific Hotel),13,1
Korean,Paris,B&B HOTEL Paris 17 Batignolles,5,1
Korean,Paris,아트 호텔 에펠 (Art Hotel Eiffel),13,1
Korean,Paris,Novotel Paris Porte Versailles,3,1
Korean,Paris,Hôtel Aiglon,2,1
Korean,Paris,호텔 드 라카드(Hôtel De l'Arcade),1,1
Korean,Paris,호텔 클뤼니 스퀘어(Hotel Cluny Square),1,1
Korean,Paris,123paris city,1,1
Korean,Paris,호텔 데 바티뇰(Hôtel Des Batignolles),1,1
Korean,Paris,Ibis Styles Hotel Paris Gare de Lyon Bastille,0,1
Korean,Paris,미투아르 아파트먼트(Mithouard Apartments),0,1
Korean,Paris,시타디네스 바스티유 마레 파리(Citadines Bastille Marais Paris),5,0
Korean,Paris,호텔 쾨르너 에펠(Hotel Korner Eiffel),5,0
Korean,Paris,이비스 파리 바스티유 오페라 (ibis Paris Bastille Opera),3,0
Korean,Paris,호텔 보나파르트(Hotel Bonaparte),3,0
Korean,Rome,numa I Verso Apartments,0,1
Korean,Rome,Crociferi 1 Apartment,1,0
Korean,Rome,Holidays Suites Navona,2,0
Korean,Rome,SuityRHome Campo de' Fiori,2,0
Korean,Rome,포 리버스 스위트(Four Rivers Suites),2,0
Korean,Rome,Campo di Marte,1,0
Korean,Rome,Casa LUNA - Accomodation in Santa Maria Maggiore,1,0
Korean,Rome,Cecilia B&B Rome,1,0
