Language,City Name,Hotel Name,Positive,Negative
Romanian,Ankara,CONNECT THERMAL HOTEL,2,1
Romanian,Ankara,Best Western Plus Center Hotel,1,1
Romanian,Ankara,Demonti Hotel,1,1
Romanian,Ankara,The Green Park Ankara,1,1
Romanian,Ankara,Enerji Otel,0,1
Romanian,Ankara,Güvenay Business Hotel,5,0
Romanian,Ankara,Lion City Hotel Ankara,3,0
Romanian,Ankara,CPAnkara Hotel,2,0
Romanian,Ankara,Elit Palas Hotel,1,0
Romanian,Ankara,First Apart Hotel,1,0
Romanian,Ankara,Grand Ankara Hotel Convention Center,1,0
Romanian,Ankara,Grand Mercure Ankara,1,0
Romanian,Ankara,Gurkent Hotel,2,0
Romanian,Ankara,Kahya Hotel Ankara,2,0
Romanian,Ankara,Latanya Hotel Ankara,2,0
Romanian,Ankara,Mina 1 Hotel,2,0
Romanian,Ankara,Niza Park Hotel,2,0
Romanian,Ankara,Point Hotel Ankara,2,0
Romanian,Ankara,Sahinbey Hotel,2,0
Romanian,Ankara,The Ankara Hotel,2,0
Romanian,Ankara,Akar International Hotel,1,0
Romanian,Beijing,Hilton Beijing,0,1
Romanian,Beijing,Beijing Yue Bin Ge Courtyard Hotel,1,0
Romanian,Beijing,"Holiday Inn Express Beijing Dongzhimen, an IHG Hotel",1,0
Romanian,Beijing,Qianmen Courtyard Hotel,1,0
Romanian,Berlin,MEININGER Hotel Berlin Hauptbahnhof,9,1
Romanian,Berlin,ibis Berlin Messe,2,2
Romanian,Berlin,"Holiday Inn Express Berlin City Centre, an IHG Hotel",10,1
Romanian,Berlin,Ibis budget Berlin Potsdamer Platz,9,1
Romanian,Berlin,Schulz Hotel Berlin Wall at the East Side Gallery,9,1
Romanian,Berlin,Mondrian Suites Berlin am Checkpoint Charlie,7,1
Romanian,Berlin,City Hotel Berlin East,6,1
Romanian,Berlin,"Hotel Berlin, Berlin, a member of Radisson Individuals",3,1
Romanian,Berlin,Hotel Augusta Am Kurfürstendamm,2,1
Romanian,Berlin,Hotel Prens Berlin,2,1
Romanian,Berlin,Leonardo Boutique Hotel Berlin City South,2,1
Romanian,Berlin,AMERON Hotel Abion Spreebogen Berlin,1,1
Romanian,Berlin,H10 Berlin Ku'damm,1,1
Romanian,Berlin,Hotel Atlantic,1,1
Romanian,Berlin,Hotel Berliner Bär,1,1
Romanian,Berlin,Vienna House Easy by Wyndham Berlin Prenzlauer Berg,1,1
Romanian,Berlin,Yggotel Spurv,0,1
Romanian,Berlin,H2 Hotel Berlin-Alexanderplatz,10,0
Romanian,Berlin,aletto Hotel Potsdamer Platz,9,0
Romanian,Berlin,"Holiday Inn Express - Berlin - Alexanderplatz, an IHG Hotel",4,0
Romanian,Berlin,Hotel Ludwig van Beethoven,4,0
Romanian,Bucharest,Avis Hotel By WS Hotel Group,10,30
Romanian,Bucharest,Vitan ApartHotel,10,30
Romanian,Bucharest,Grand Hotel Bucharest,10,29
Romanian,Bucharest,Hotel Duke Romana,10,28
Romanian,Bucharest,Orhideea Residence & Spa,10,28
Romanian,Bucharest,Upground Residence Apartments,10,25
Romanian,Bucharest,Ganzo Boutique Hotel,10,24
Romanian,Bucharest,Hotel Tineretului,10,23
Romanian,Bucharest,Hotel Hemingway Residence,10,23
Romanian,Bucharest,Casa Ana,10,22
Romanian,Bucharest,International Bucharest City Centre Hotel,10,20
Romanian,Bucharest,ibis Styles Bucharest City Center,10,19
Romanian,Bucharest,Courtyard by Marriott Bucharest Floreasca,10,19
Romanian,Bucharest,ibis Bucharest Politehnica,10,18
Romanian,Bucharest,Hotel Ancor,10,18
Romanian,Bucharest,Hotel Yesterday,10,17
Romanian,Bucharest,Hotel Casa Fiori,10,15
Romanian,Bucharest,Moxy Bucharest Old Town,10,15
Romanian,Bucharest,Living Aparthotel,10,14
Romanian,Bucharest,"The Marmorosch Bucharest, Autograph Collection",10,13
Romanian,Bucharest,Orange Onix Apartaments,10,12
Romanian,Madrid,Riu Plaza España,10,3
Romanian,Madrid,Hotel Puerta America,7,1
Romanian,Madrid,Exe Plaza,3,1
Romanian,Madrid,Oriente Palace Apartments,3,0
Romanian,Madrid,Petit Palace Arturo Soria Alcalá,3,0
Romanian,Madrid,UVE Marcenado,3,0
Romanian,Madrid,Woohoo Rooms Boutique Sol,3,0
Romanian,Madrid,Avenida De America Tijcal,2,0
Romanian,Madrid,Eurostars Suites Mirasierra,2,0
Romanian,Madrid,Feelathome Madrid Suites Apartments,2,0
Romanian,Madrid,Gran View Apartments,2,0
Romanian,Madrid,Hostal Pio Centro,2,0
Romanian,Madrid,Morar Apartments Malasaña,2,0
Romanian,Madrid,Room Plaza España,2,0
Romanian,Madrid,The Garden Suites,2,0
Romanian,Madrid,VP El Madroño,2,0
Romanian,Madrid,Woohoo Rooms Chueca,2,0
Romanian,Madrid,easyHotel Madrid Centro Atocha,2,0
Romanian,Madrid,Arizonica Suites,1,0
Romanian,Madrid,Bob W Arte,1,0
Romanian,Madrid,Bonavista Apartments - Chamberí,1,0
Romanian,New Delhi,The Prime Delhi,0,2
Romanian,New Delhi,Maidens Hotel New Delhi,1,0
Romanian,New Delhi,"THE SINGH EMPIRE, New Delhi",1,0
Romanian,New Delhi,The Metropolitan Hotel & Spa New Delhi,1,0
Romanian,Paris,Ibis Paris Tour Eiffel Cambronne 15ème,8,8
Romanian,Paris,Louisa Hotel Paris,1,2
Romanian,Paris,Hotel Beauvoir,0,2
Romanian,Paris,Hôtel De La Porte Dorée,5,1
Romanian,Paris,Hotel Résidence Montebello,3,1
Romanian,Paris,Hôtel Aston,3,1
Romanian,Paris,Aparthotel Adagio Paris Nation,2,1
Romanian,Paris,Apartments WS Tour Eiffel - Saint-Charles,1,1
Romanian,Paris,Maison Albar Hotels Le Diamond,1,1
Romanian,Paris,Conde Chic Studio,0,1
Romanian,Paris,Hôtel Jardin Le Bréa,0,1
Romanian,Paris,Novotel Paris Porte Versailles,10,0
Romanian,Paris,Hôtel Le Relais Saint Charles,6,0
Romanian,Paris,Drawing House,5,0
Romanian,Paris,"Hotel Litteraire Marcel Ayme, BW Premier Collection",4,0
Romanian,Paris,Le Grey Hotel,4,0
Romanian,Paris,Hotel Eiffel Blomet,3,0
Romanian,Paris,Hôtel Des Batignolles,3,0
Romanian,Paris,Elegance Pompidou Sebastopol,2,0
Romanian,Paris,Hotel Abbatial Saint Germain,2,0
Romanian,Paris,Hotel Armoni Paris,2,0
Romanian,Rome,Campo di Marte,3,0
Romanian,Rome,Giulio Cesare 78 Apartment,1,0
Romanian,Seoul,57 Myeongdong Hostel,0,1
Romanian,Seoul,Best Western Premier Gangnam Hotel,1,0
Romanian,Seoul,Glue Hotel,1,0
Romanian,Seoul,Hotel Firststay Myeongdong,1,0
Romanian,Seoul,Hotel Migliore Seoul,1,0
Romanian,Seoul,Ibis Styles Ambassador Seoul Gangnam,1,0
Romanian,Seoul,L7 Hongdae,1,0
Romanian,Washington,District Hotel,0,1
Romanian,Washington,Duo Housing,0,1
Romanian,Washington,Hampton Inn Washington DC - Convention Center,0,1
Romanian,Washington,Hilton Washington DC National Mall The Wharf,0,1
Romanian,Washington,Hyatt Place Washington DC/US Capitol,0,1
Romanian,Washington,The Normandy Hotel,0,1
Romanian,Washington,The Architect,5,0
Romanian,Washington,State Plaza Hotel,4,0
Romanian,Washington,"Club Quarters Hotel White House, Washington DC",3,0
Romanian,Washington,Fairfield Inn & Suites by Marriott Washington Downtown,2,0
Romanian,Washington,Melrose Georgetown Hotel,2,0
Romanian,Washington,Grand Hyatt Washington,1,0
Romanian,Washington,Hilton Garden Inn Washington DC Downtown,1,0
Romanian,Washington,Hotel Harrington,1,0
Romanian,Washington,Hyatt Place Washington DC/White House,1,0
Romanian,Washington,Lyle DC,1,0
Romanian,Washington,Petworth Perfect 1BR Private Paradise,1,0
Romanian,Washington,Washington Plaza Hotel,1,0
