Language,City Name,Hotel Name,Positive,Negative
Russian,Ankara,Hotel Abro Sezenler,5,8
Russian,Ankara,Hotel Ickale,5,8
Russian,Ankara,New Park Hotel,5,8
Russian,Ankara,Hotel Cinnah,5,8
Russian,Ankara,Deeps Hostel Ankara,5,8
Russian,Ankara,Esila Hotel,5,8
Russian,Ankara,Asal Hotel,5,8
Russian,Ankara,ibis Ankara Airport Hotel,5,8
Russian,Ankara,Kahya Hotel Ankara,5,8
Russian,Ankara,First Apart Hotel,5,8
Russian,Beijing,"Holiday Inn Express Beijing Temple of Heaven, an IHG Hotel",5,5
Russian,Beijing,Aerotel Beijing Daxing International Airport,5,4
Russian,Beijing,"Holiday Inn Express Beijing Dongzhimen, an IHG Hotel",5,2
Russian,Beijing,Grand Millennium Beijing,2,1
Russian,Beijing,"Holiday Inn Express Beijing Airport Zone, an IHG Hotel",2,1
Russian,Beijing,Swissotel Beijing Hong Kong Macau Center,2,1
Russian,Beijing,"InterContinental Beijing Beichen, an IHG Hotel",1,1
Russian,Beijing,Mercure Wanshang Beijing,1,1
Russian,Beijing,Greentree Alliance Beijing West Railway Station Zhanqian North Square Hotel,0,1
Russian,Beijing,Mumian Beijing Daxing International Airport,5,1
Russian,Berlin,Park Inn by Radisson Berlin Alexanderplatz,5,8
Russian,Berlin,MEININGER Hotel Berlin Hauptbahnhof,5,8
Russian,Berlin,City Hotel Berlin East,5,8
Russian,Berlin,Generator Berlin Alexanderplatz,5,9
Russian,Berlin,Riu Plaza Berlin,5,9
Russian,Berlin,Novum Hotel Aldea Berlin Centrum,5,9
Russian,Berlin,Park Plaza Berlin,5,9
Russian,Berlin,H2 Hotel Berlin-Alexanderplatz,5,9
Russian,Berlin,a&o Berlin Hauptbahnhof,5,9
Russian,Berlin,Leonardo Hotel Berlin KU'DAMM,5,9
Russian,Bucharest,Hotel Parliament,5,9
Russian,Bucharest,WPML-APARTMENTS,5,9
Russian,Bucharest,Grand Central Accommodation - Beldiman,2,8
Russian,Bucharest,Grand Central Accommodation - Smardan,2,8
Russian,Bucharest,Hotel Forty One,5,7
Russian,Bucharest,Hotel Les Jardins Carol,5,6
Russian,Bucharest,Hotel Marina srl,5,5
Russian,Bucharest,Living Aparthotel,5,5
Russian,Bucharest,Byzanthin Hostel,5,4
Russian,Bucharest,Grand Central Accommodation - Doamnei,5,4
Russian,Madrid,Riu Plaza España,5,6
Russian,Madrid,Dear Hotel Madrid,5,5
Russian,Madrid,Madrid Marriott Auditorium Hotel & Conference Center,5,5
Russian,Madrid,NH Barajas Airport,5,5
Russian,Madrid,Soho Boutique Congreso,5,4
Russian,Madrid,Vincci Capitol,5,4
Russian,Madrid,Hyatt Centric Gran Via Madrid,5,4
Russian,Madrid,Eurostars Central,5,4
Russian,Madrid,Vincci Soho,5,3
Russian,Madrid,Radisson RED Madrid,6,3
Russian,New Delhi,Hotel Nitya Maharani 'NEW DELHI',6,9
Russian,New Delhi,Hotel Mannat international by Mannat,6,9
Russian,New Delhi,Hotel Blue Pearl,6,9
Russian,New Delhi,Hotel Tashkent Palace - Paharganj - Couple Friendly,6,9
Russian,New Delhi,Hotel Venus Plaza- Near Delhi Airport,1,8
Russian,New Delhi,The Mohit Guest House - New Delhi Railway Station - Paharganj,6,6
Russian,New Delhi,Hotel Shri Vinayak at New Delhi Railway Station-By RCG Hotels,4,6
Russian,New Delhi,Hotel Smart Signature Delhi Airport,5,5
Russian,New Delhi,FabHotel White Klove Paharganj,2,5
Russian,New Delhi,Silver Shine New Delhi - COMFORT STAY,6,4
Russian,Paris,Pullman Paris Tour Eiffel,6,9
Russian,Paris,Novotel Paris Porte Versailles,6,5
Russian,Paris,Austin's Saint Lazare Hotel,6,4
Russian,Paris,"InterContinental Paris Le Grand, an IHG Hotel",6,4
Russian,Paris,UCPA SPORT STATION HOSTEL PARIS,6,3
Russian,Paris,Hôtel le Derby Alma by Inwood Hotels,6,3
Russian,Paris,Rayz Eiffel,6,3
Russian,Paris,La Demeure Montaigne,6,3
Russian,Paris,Hotel du Collectionneur,3,3
Russian,Paris,Maison Albar Hotels Le Diamond,6,2
