Language,City Name,Hotel Name,Positive,Negative
Spanish,Ankara,Hotel Ickale,5,6
Spanish,Ankara,Inn 65 Budget,5,3
Spanish,Ankara,Raymar Hotels Ankara,5,2
Spanish,Ankara,Hotel Cinnah,5,1
Spanish,Ankara,Grand Sera Hotel,5,1
Spanish,Ankara,Mina 1 Hotel,5,1
Spanish,Ankara,ibis Ankara Airport Hotel,5,1
Spanish,Ankara,New Park Hotel,5,1
Spanish,Ankara,First Apart Hotel,5,1
Spanish,Ankara,Lion City Hotel Kizilay,5,1
Spanish,Beijing,"Holiday Inn Express Beijing Temple of Heaven, an IHG Hotel",5,1
Spanish,Beijing,Novotel Beijing Peace,4,1
Spanish,Beijing,Guo Ji Yi Yuan Hotel,1,1
Spanish,Beijing,"Holiday Inn Express Beijing Dongzhimen, an IHG Hotel",5,1
Spanish,Beijing,Park Plaza Beijing Wangfujing,1,1
Spanish,Beijing,Grand Mercure Beijing Central,1,1
Spanish,Beijing,Happy Dragon City Center Alley Hotel Forbidden City,1,1
Spanish,Beijing,"Holiday Inn Express Beijing Airport Zone, an IHG Hotel",1,1
Spanish,Beijing,"Dongfang Shengda Hotel-near Beijing Tiananmen Square ,the Forbidden City,Wangfujing Subway Station,Newly opened hotel-Able to receive foreign guests",0,1
Spanish,Beijing,Layering Courtyard Hotel Qianmen,0,1
Spanish,Berlin,a&o Berlin Hauptbahnhof,5,7
Spanish,Berlin,Novum Hotel Aldea Berlin Centrum,5,7
Spanish,Berlin,Generator Berlin Alexanderplatz,5,7
Spanish,Berlin,MEININGER Hotel Berlin Hauptbahnhof,5,7
Spanish,Berlin,easyHotel Berlin Hackescher Markt,5,7
Spanish,Berlin,Ibis budget Berlin Potsdamer Platz,5,7
Spanish,Berlin,H2 Hotel Berlin-Alexanderplatz,5,7
Spanish,Berlin,TITANIC Comfort Mitte,5,7
Spanish,Berlin,Schulz Hotel Berlin Wall at the East Side Gallery,5,7
Spanish,Berlin,Quentin XL Potsdamer Platz,5,7
Spanish,Bucharest,Hotel Hemingway Residence,5,7
Spanish,Bucharest,Vila 18 Hotel Boutique,5,7
Spanish,Bucharest,Black and White Apartments,5,4
Spanish,Bucharest,Upstairs Boutique,5,4
Spanish,Bucharest,Grand Boutique Hotel,5,4
Spanish,Bucharest,One88 Apartments,5,3
Spanish,Bucharest,Decebal Residence Apartments,5,3
Spanish,Bucharest,AMADEUS RESIDENCE,5,2
Spanish,Bucharest,Sunrise Apartments,5,1
Spanish,Bucharest,"Central Hotel, Trademark Collection by Wyndham",5,1
Spanish,Madrid,Exe Plaza,5,7
Spanish,Madrid,JC Rooms Santa Ana,5,7
Spanish,Madrid,Soho Boutique Congreso,5,7
Spanish,Madrid,JC Rooms Chueca,5,7
Spanish,Madrid,Riu Plaza España,5,7
Spanish,Madrid,Abalú Small Luxury & Design Boutique Hotel,5,7
Spanish,Madrid,Eurostars Casa de la Lírica,5,7
Spanish,Madrid,NH Madrid Atocha,5,7
Spanish,Madrid,NH Madrid Zurbano,5,7
Spanish,Madrid,Suites You Soho,5,7
Spanish,New Delhi,The Prime Delhi,5,7
Spanish,New Delhi,Sprinklers,5,7
Spanish,New Delhi,Shangri-La Eros New Delhi,5,7
Spanish,New Delhi,Grand Hari Piorko,4,6
Spanish,New Delhi,bloomrooms @ Janpath,5,5
Spanish,New Delhi,FabHotel White Klove Paharganj,1,5
Spanish,New Delhi,CASA CENTRAL,5,4
Spanish,New Delhi,The Grand Uddhav,5,4
Spanish,New Delhi,The Park New Delhi,5,4
Spanish,New Delhi,Hotel Cottage Yes Please Near New Delhi Railway Station,4,4
Spanish,Paris,Hotel Eiffel Seine,6,7
Spanish,Paris,Au Pacific Hotel,6,7
Spanish,Paris,Hôtel Aston,6,7
Spanish,Paris,Hotel Nation Montmartre,6,7
Spanish,Paris,Hotel Vacances Bleues Provinces Opera,6,7
Spanish,Paris,Mithouard Apartments,6,7
Spanish,Paris,Hotel Résidence Montebello,6,7
Spanish,Paris,Hotel Saint Honore 85,6,7
Spanish,Paris,Hotel Royal Phare,6,7
Spanish,Paris,Apartments WS Tour Eiffel - Saint-Charles,6,7
Spanish,Rome,The Spanish Suite Campo de' Fiori,6,7
Spanish,Rome,Black Rooms Colosseo,6,7
Spanish,Rome,Rome Easy Rooms,6,7
Spanish,Rome,Tritone Top House,6,7
Spanish,Rome,Mia Suites,6,7
Spanish,Rome,Trevi 41 Hotel,6,7
Spanish,Rome,Esposizione Palace Hotel,6,7
Spanish,Rome,Chic & Town Luxury Rooms,6,7
Spanish,Rome,Bloom Hotel Rome,6,7
Spanish,Rome,Fauno Urban Resort,6,7
Spanish,Seoul,Hotel Skypark Myeongdong 1,6,4
Spanish,Seoul,Seoul N Hotel Dongdaemun,6,3
Spanish,Seoul,Hotel Skypark Dongdaemun I,6,3
Spanish,Seoul,Travelodge Myeongdong Euljiro,3,3
Spanish,Seoul,57 Myeongdong Hostel,6,2
Spanish,Seoul,Staz Hotel Myeongdong 2,6,2
Spanish,Seoul,Hotel Skypark Central Myeongdong,6,2
Spanish,Seoul,ibis Ambassador Insadong,6,2
Spanish,Seoul,LOTTE City Hotel Myeongdong,6,1
Spanish,Seoul,Amare Hotel Jongno,6,1
Spanish,Washington,Hotel Harrington,6,8
Spanish,Washington,Hyatt Place Washington DC/US Capitol,6,8
Spanish,Washington,Days Inn by Wyndham Washington DC/Connecticut Avenue,6,8
Spanish,Washington,"Club Quarters Hotel White House, Washington DC",6,8
Spanish,Washington,Hyatt Place Washington DC/White House,6,8
Spanish,Washington,District Hotel,6,8
Spanish,Washington,Hyatt Place Washington DC/Georgetown/West End,6,8
Spanish,Washington,Hamilton Hotel - Washington DC,6,8
Spanish,Washington,Hilton Garden Inn Washington D.C./U.S. Capitol,6,8
Spanish,Washington,State Plaza Hotel,6,8
