Language,City Name,Hotel Name,Positive,Negative
Turkish,Ankara,The Green Park Ankara,2,22
Turkish,Ankara,Hotel Abro Sezenler,2,11
Turkish,Ankara,Enerji Otel,2,9
Turkish,Ankara,Esila Hotel,2,5
Turkish,Ankara,Ankara HiltonSA,2,5
Turkish,Ankara,Asrin Business Hotel Kızılay,1,5
Turkish,Ankara,Apart Hotel Best,2,4
Turkish,Ankara,The Ankara Hotel,2,4
Turkish,Ankara,Seven Deep Hotel,1,4
Turkish,Ankara,Ismira Hotel Ankara,1,4
Turkish,Ankara,Metropolitan Hotels Ankara,2,3
Turkish,Ankara,Bilkent Hotel and Conference Center,2,3
Turkish,Ankara,Cihan Palas,2,3
Turkish,Ankara,Sheraton Ankara Hotel & Convention Center,2,3
Turkish,Ankara,Hatton Suites Hotel Esenboga,2,3
Turkish,Ankara,OTTO LOFT Premium Apartments,2,3
Turkish,Ankara,UK ANKARA Hotel,2,3
Turkish,Ankara,Business Grand Hotel,1,3
Turkish,Ankara,Akman TZOB Otel,0,3
Turkish,Ankara,Hotel Etap Mola,0,3
Turkish,Ankara,Inn 14 Hostel,2,2
Turkish,Ankara,Divan Ankara,2,2
Turkish,Ankara,Deeps Hostel Ankara,2,2
Turkish,Ankara,Occidental Ankara,2,2
Turkish,Ankara,Wyndham Ankara,2,2
Turkish,Ankara,Aldino Hotel & Spa,2,2
Turkish,Ankara,Business Park Hotel,2,2
Turkish,Ankara,Demonti Hotel,2,2
Turkish,Ankara,Tac Hotel,2,2
Turkish,Ankara,Class Hotel,1,2
Turkish,Ankara,Grand Ankara Hotel Convention Center,1,2
Turkish,Ankara,Limak Ambassadore Hotel Ankara,1,2
Turkish,Ankara,koza millenyum hotel&spa,1,2
Turkish,Ankara,Asrin Park Hotel & Spa Convention Center,0,2
Turkish,Ankara,COLORFUL LİFE ÇAYYOLU,0,2
Turkish,Ankara,Güvenay Business Hotel,2,1
Turkish,Ankara,Point Hotel Ankara,2,1
Turkish,Ankara,Best Western Plus Center Hotel,2,1
Turkish,Ankara,"Holiday Inn Ankara - Cukurambar, an IHG Hotel",2,1
Turkish,Ankara,Grand Silay Hotel,2,1
Turkish,Ankara,Latanya Hotel Ankara,2,1
Turkish,Ankara,Atakosk Group Hotels,2,1
Turkish,Ankara,"Holiday Inn Ankara-Kavaklidere, an IHG Hotel",2,1
Turkish,Ankara,Ankara Plaza Hotel,1,1
Turkish,Ankara,BUTİK 24 SUİTES,1,1
Turkish,Ankara,City Hotel Residence,1,1
Turkish,Ankara,Gazi Park Hotel,1,1
Turkish,Ankara,Konur Hotel,1,1
Turkish,Ankara,OTTO Boutique,1,1
Turkish,Ankara,Starton Hotel,1,1
Turkish,Ankara,Antik Otel,1,1
Turkish,Ankara,Buyukhanli Park Hotel,1,1
Turkish,Beijing,The Great Wall Hotel Beijing,0,2
Turkish,Beijing,Hilton Beijing,0,1
Turkish,Beijing,Guo Ji Yi Yuan Hotel,1,0
Turkish,Beijing,Novotel Beijing Peace,1,0
Turkish,Beijing,Ritan Hotel Downtown Beijing,1,0
Turkish,Berlin,TITANIC Comfort Mitte,2,15
Turkish,Berlin,H2 Hotel Berlin-Alexanderplatz,2,14
Turkish,Berlin,Generator Berlin Alexanderplatz,2,10
Turkish,Berlin,Potsdamer Inn,2,10
Turkish,Berlin,Schulz Hotel Berlin Wall at the East Side Gallery,2,9
Turkish,Berlin,ibis budget Berlin Kurfürstendamm,2,8
Turkish,Berlin,Ibis Berlin Hauptbahnhof,2,7
Turkish,Berlin,TITANIC Comfort Kurfürstendamm,2,7
Turkish,Berlin,"Hotel Berlin, Berlin, a member of Radisson Individuals",2,7
Turkish,Berlin,"Holiday Inn Express - Berlin - Alexanderplatz, an IHG Hotel",2,6
Turkish,Berlin,"Holiday Inn Express Berlin City Centre, an IHG Hotel",2,6
Turkish,Berlin,a&o Berlin Hauptbahnhof,2,6
Turkish,Berlin,Ballhaus Berlin Hostel,2,5
Turkish,Berlin,martas Gästehäuser Hauptbahnhof Berlin ehemals Jugendgästehaus,2,5
Turkish,Berlin,ibis Hotel Berlin Mitte,2,5
Turkish,Berlin,Hotel Gat Point Charlie,2,4
Turkish,Berlin,Motel One Berlin-Alexanderplatz,2,4
Turkish,Berlin,City Hotel Berlin East,2,4
Turkish,Berlin,Novotel Suites Berlin City Potsdamer Platz,2,3
Turkish,Berlin,MEININGER Hotel Berlin East Side Gallery,2,3
Turkish,Berlin,Motel One Berlin-Spittelmarkt,2,3
Turkish,Berlin,Hollywood Media Hotel am Kurfürstendamm,2,3
Turkish,Berlin,VISIONAPARTMENTS Otto-Braun-Strasse - contactless check-in,1,3
Turkish,Berlin,relexa hotel Stuttgarter Hof,1,3
Turkish,Berlin,Living in the Box,1,3
Turkish,Berlin,ibis Berlin Messe,1,3
Turkish,Berlin,Hotel Vivaldi Berlin am Kurfürstendamm,0,3
Turkish,Berlin,MEININGER Hotel Berlin Tiergarten,2,2
Turkish,Berlin,aletto Hotel Kudamm,2,2
Turkish,Berlin,aletto Hotel Potsdamer Platz,2,2
Turkish,Berlin,"Crowne Plaza Berlin City Centre Ku'damm, an IHG Hotel",2,2
Turkish,Berlin,Mondrian Suites Berlin am Checkpoint Charlie,2,2
Turkish,Berlin,fjord hotel berlin,2,2
Turkish,Berlin,Motel Plus Berlin,2,2
Turkish,Berlin,Motel One Berlin-Hauptbahnhof,2,2
Turkish,Berlin,B&B Hotel Berlin City-West,2,2
Turkish,Berlin,Hotel Augusta Am Kurfürstendamm,2,2
Turkish,Berlin,greet Berlin Alexanderplatz,2,2
Turkish,Berlin,ibis Berlin City Nord,2,2
Turkish,Berlin,martas Hotel Albrechtshof Berlin,1,2
Turkish,Berlin,BlnCty Hotel,1,2
Turkish,Berlin,Midi Inn Parkhotel Mitte,1,2
Turkish,Berlin,Nu Wave Hotel Berlin,1,2
Turkish,Berlin,Vienna House Easy by Wyndham Berlin Prenzlauer Berg,1,2
Turkish,Berlin,Three Little Pigs Hostel - Your Berlin Castle,2,1
Turkish,Berlin,ibis Berlin City Potsdamer Platz,2,1
Turkish,Berlin,Leonardo Hotel Berlin,2,1
Turkish,Berlin,Novotel Berlin Am Tiergarten,2,1
Turkish,Berlin,about:berlin Hotel,2,1
Turkish,Berlin,limehome Berlin Müllerstraße - Digital Access,2,1
Turkish,Berlin,Apartmenthaus Berlin Mitte,2,1
Turkish,Berlin,LINDEMANN'S,2,1
Turkish,Bucharest,Hilton Garden Inn Bucharest Old Town,2,5
Turkish,Bucharest,Moxy Bucharest Old Town,2,4
Turkish,Bucharest,ibis Styles Bucharest City Center,2,3
Turkish,Bucharest,Courtyard by Marriott Bucharest Floreasca,2,2
Turkish,Bucharest,Lahovary Palace Hotel,2,2
Turkish,Bucharest,Hotel Yesterday,2,2
Turkish,Bucharest,Old Town Boutique Hotel,2,1
Turkish,Bucharest,Vilacrosse Boutique Inn,2,1
Turkish,Bucharest,Rembrandt Hotel,2,1
Turkish,Bucharest,Grand Boutique Hotel,2,1
Turkish,Bucharest,Living Aparthotel,2,1
Turkish,Bucharest,Orhideea Residence & Spa,1,1
Turkish,Bucharest,Cozy Old Town Apartment with Extra Free Minibar,0,1
Turkish,Bucharest,Hotel Ancor,0,1
Turkish,Bucharest,Residence Villa Barrio,0,1
Turkish,Bucharest,Black and White Apartments,2,0
Turkish,Bucharest,Concorde Old Bucharest Hotel,2,0
Turkish,Bucharest,Matisse Bucharest Old Town,2,0
Turkish,Bucharest,Tomis Garden Aparthotel Bucuresti,2,0
Turkish,Bucharest,Ambiance Hotel,2,0
Turkish,Bucharest,One by One - at Grand Accommodation,2,0
Turkish,Bucharest,"The Marmorosch Bucharest, Autograph Collection",2,0
Turkish,Bucharest,Hotel Sir Royal,2,0
Turkish,Bucharest,Sunrise Apartments,2,0
Turkish,Bucharest,Otilia,1,0
Turkish,Bucharest,The Embassy Nord,1,0
Turkish,Bucharest,Vila Ada,1,0
Turkish,Bucharest,City Vibes - The View,1,0
Turkish,Bucharest,Deluxe Studio Old Center Panoramic View Terrace,1,0
Turkish,Bucharest,EPC Home - Blănari 4,1,0
Turkish,Bucharest,Historic Center Residence 2,1,0
Turkish,Bucharest,Hotel Popa Soare,1,0
Turkish,Bucharest,La Boheme,1,0
Turkish,Bucharest,Live Bucharest,1,0
Turkish,Bucharest,Manolle Boutique Hotel,1,0
Turkish,Bucharest,Piccolo Mondo by CityBookings,1,0
Turkish,Bucharest,Shiro,1,0
Turkish,Bucharest,Sweet Dreams Suites Panoramic Studio Zodiac Dorobanti,1,0
Turkish,Bucharest,Universitate Heart View,1,0
Turkish,Bucharest,VD Boutique Apartments No 2,1,0
Turkish,Madrid,Hostal Pio Centro,1,1
Turkish,Madrid,BYPILLOW Crosstown,0,1
Turkish,Madrid,Arizonica Suites,2,0
Turkish,Madrid,Oriente Palace Apartments,2,0
Turkish,Madrid,Artrip Hotel,1,0
Turkish,Madrid,Gran View Apartments,1,0
Turkish,Madrid,Hostal Boutique I Host You,1,0
Turkish,Madrid,Ikonik Gran Vía,1,0
Turkish,Madrid,The Social Hub Madrid,1,0
Turkish,New Delhi,"THE SINGH EMPIRE, New Delhi",1,1
Turkish,New Delhi,HOTEL GEESON -New Delhi Railway Station -Paharganj,0,1
Turkish,New Delhi,The Prime Balaji Deluxe @ New Delhi Railway Station,0,1
Turkish,New Delhi,Hotel Sky Rich International - 05 Mins from Karol Bagh Metro Station,1,0
Turkish,New Delhi,Hotel City Star,1,0
Turkish,New Delhi,Hotel Ritz,1,0
Turkish,New Delhi,Maidens Hotel New Delhi,1,0
Turkish,New Delhi,Radisson Blu Marina Hotel Connaught Place,1,0
Turkish,New Delhi,Staybook Hotel Atlanta New Delhi Railway Station Paharganj,1,0
Turkish,New Delhi,The Prime Delhi,1,0
Turkish,New Delhi,bloomrooms @ Janpath,1,0
Turkish,Paris,B&B HOTEL Paris 17 Batignolles,2,6
Turkish,Paris,ibis Paris Avenue d'Italie 13ème,2,5
Turkish,Paris,Hotel Abbatial Saint Germain,3,5
Turkish,Paris,ibis Paris Bastille Opera,3,5
Turkish,Paris,Au Pacific Hotel,3,4
Turkish,Paris,Novotel Suites Paris Expo Porte de Versailles,3,4
Turkish,Paris,Hôtel Clauzel Paris,3,3
Turkish,Paris,Novotel Paris Porte Versailles,3,3
Turkish,Paris,Hôtel de l'Alma Paris,3,3
Turkish,Paris,Hotel Vacances Bleues Provinces Opera,3,3
Turkish,Paris,Motel One Paris-Porte Dorée,3,2
Turkish,Paris,Hotel Eiffel Seine,3,2
Turkish,Paris,Art Hotel Eiffel,3,2
Turkish,Paris,Hôtel Le Relais Saint Charles,3,2
Turkish,Paris,Hôtel Aston,3,2
Turkish,Paris,Vestay George V,3,2
Turkish,Paris,ibis Styles Paris Cadet Lafayette,2,2
Turkish,Paris,Le Petit Belloy,1,2
Turkish,Paris,ibis Styles Paris Meteor Avenue d'Italie,3,1
Turkish,Paris,Paris France Hotel,3,1
Turkish,Paris,Hotel La Manufacture,3,1
Turkish,Paris,ibis Paris Alesia Montparnasse,3,1
Turkish,Paris,Hotel Opera Maintenon,3,1
Turkish,Paris,Campanile Paris 14 - Maine Montparnasse,3,1
Turkish,Paris,Grand Hotel Dore,3,1
Turkish,Paris,Hotel Cluny Square,3,1
Turkish,Paris,Louisa Hotel Paris,3,1
Turkish,Paris,Citadines Bastille Marais Paris,2,1
Turkish,Paris,Hotel Le Clery,1,1
Turkish,Paris,Hôtel Aiglon,1,1
Turkish,Paris,Aparthotel Adagio Paris Nation,0,1
Turkish,Paris,Apartments WS Hôtel de Ville - Beaubourg,0,1
Turkish,Paris,Hotel Beauvoir,0,1
Turkish,Paris,Marais Lovely,0,1
Turkish,Paris,ibis Paris Opera La Fayette,0,1
Turkish,Paris,Ibis Styles Paris Place d'Italie - Butte Aux Cailles,3,0
Turkish,Paris,Hotel des Arts - Cite Bergere,3,0
Turkish,Paris,Hôtel De La Porte Dorée,3,0
Turkish,Paris,Hotel Résidence Montebello,3,0
Turkish,Paris,Hôtel Vendome Saint-Germain,3,0
Turkish,Paris,Hotel Park Lane Paris,3,0
Turkish,Paris,ibis Styles Paris Montmartre Nord,3,0
Turkish,Paris,Citadines Austerlitz Paris,2,0
Turkish,Paris,District Republique,2,0
Turkish,Paris,Hôtel Beauregard,2,0
Turkish,Paris,Hôtel Le Daum,2,0
Turkish,Paris,Mercure Paris Gare de l'Est,2,0
Turkish,Paris,ibis Maine Montparnasse,2,0
Turkish,Paris,ibis Paris Bastille Faubourg St Antoine,2,0
Turkish,Paris,Apartments WS Louvre - Sainte-Anne,1,0
Turkish,Paris,CARD Hôtel,1,0
Turkish,Paris,Hôtel Des Batignolles,1,0
Turkish,Rome,Romulea Guest House,3,2
Turkish,Rome,Rossi Hotel,1,1
Turkish,Rome,Domus Enea - Colosseo Termini,0,1
Turkish,Rome,Vatican City Accommodation,3,0
Turkish,Rome,Azzurra Rooms,2,0
Turkish,Rome,Bed and Breakfast Piazza Vittorio87,2,0
Turkish,Rome,Colosseum Charme Apartments,2,0
Turkish,Rome,DANY GUEST HOUSE,2,0
Turkish,Rome,Monti Guest House - Affittacamere,2,0
Turkish,Rome,Vatican Domus Smart Rooms,2,0
Turkish,Rome,"Villa Fatima, Casa per Ferie",2,0
Turkish,Rome,A-Rome Suite,1,0
Turkish,Rome,AD Cavour Luxury Rooms,1,0
Turkish,Rome,Around The Corner Colosseo B&B,1,0
Turkish,Rome,Art in Accommodation,1,0
Turkish,Rome,Charme 308,1,0
Turkish,Rome,Francy Guest House,1,0
Turkish,Rome,Gina B&B,1,0
Turkish,Rome,Navona Sky Palace,1,0
Turkish,Rome,Sweet Rome B&B,1,0
Turkish,Rome,The Painter's House,1,0
Turkish,Seoul,Toyoko Inn Seoul Yeongdeungpo,3,1
Turkish,Seoul,Namsan Guesthouse,2,1
Turkish,Seoul,Philstay Myeongdong Metro,1,1
Turkish,Seoul,K-Guesthouse Dongdaemun Premium,0,1
Turkish,Seoul,Oakwood Premier Coex Center,0,1
Turkish,Seoul,Philstay Myeongdong Station,0,1
Turkish,Seoul,The Stay Classic Hotel Myeongdong,0,1
Turkish,Seoul,Toyoko Inn Seoul Dongdaemun II,0,1
Turkish,Seoul,Crown Park Hotel Seoul,3,0
Turkish,Seoul,Nine Tree Hotel Myeongdong,3,0
Turkish,Seoul,Lotte Hotel Seoul,3,0
Turkish,Seoul,Moxy Seoul Myeongdong,3,0
Turkish,Seoul,57 Myeongdong Hostel,2,0
Turkish,Seoul,Days Hotel by Wyndham Seoul Myeongdong,2,0
Turkish,Seoul,Fraser Place Namdaemun,2,0
Turkish,Seoul,Hostel Korea - Ikseon,2,0
Turkish,Seoul,Hotel 8 Hours,2,0
Turkish,Seoul,Hotel Mfelice,2,0
Turkish,Seoul,Hotel President,2,0
Turkish,Seoul,Hotel Thomas Myeongdong,2,0
Turkish,Seoul,New Seoul Hotel Myeongdong,2,0
Turkish,Seoul,Staz Hotel Doksan,2,0
Turkish,Seoul,Amare Hotel Jongno,1,0
Turkish,Seoul,Amid Hotel Seoul,1,0
Turkish,Seoul,Best Western Premier Gangnam Hotel,1,0
Turkish,Seoul,ENA Suite Hotel Namdaemun,1,0
Turkish,Seoul,Fairfield by Marriott Seoul,1,0
Turkish,Seoul,H Avenue Hotel Idae Shinchon,1,0
Turkish,Seoul,Hotel DDK,1,0
Turkish,Seoul,Hotel The Designers Dongdaemun,1,0
Turkish,Seoul,Hotel28 Myeongdong,1,0
Turkish,Seoul,L'Escape Hotel,1,0
Turkish,Seoul,Life in Euljiro,1,0
Turkish,Seoul,Namsan Gil House,1,0
Turkish,Seoul,Nine Tree Premier Hotel Insadong,1,0
Turkish,Seoul,OYO Hostel Dongdaemun1,1,0
Turkish,Seoul,Orakai Insadong Suites,1,0
Turkish,Seoul,Shilla Stay Gwanghwamun,1,0
Turkish,Seoul,Signiel Seoul,1,0
Turkish,Seoul,The Ambassador Seoul - A Pullman Hotel,1,0
Turkish,Seoul,"voco Seoul Gangnam, an IHG Hotel",1,0
Turkish,Washington,Hyatt Place Washington DC/Georgetown/West End,3,3
Turkish,Washington,Hotel Harrington,2,2
Turkish,Washington,Wyndham Garden Washington DC North,2,2
Turkish,Washington,Hilton Garden Inn Washington D.C./U.S. Capitol,0,2
Turkish,Washington,State Plaza Hotel,0,2
Turkish,Washington,"Club Quarters Hotel White House, Washington DC",3,1
Turkish,Washington,Hilton Garden Inn Washington DC Downtown,2,1
Turkish,Washington,Hyatt Place Washington DC/White House,2,1
Turkish,Washington,The Architect,2,1
Turkish,Washington,Capital Hilton,1,1
Turkish,Washington,Henley Park Hotel,1,1
Turkish,Washington,"Holiday Inn Washington-Central/White House, an IHG Hotel",1,1
Turkish,Washington,Morrison Clark Inn Washington DC Convention Center,1,1
Turkish,Washington,DC International Hostel 2,0,1
Turkish,Washington,Days Inn by Wyndham Washington DC/Connecticut Avenue,0,1
Turkish,Washington,"Hampton Inn & Suites Washington, D.C. - Navy Yard",0,1
Turkish,Washington,Hampton Inn Washington DC - Convention Center,0,1
Turkish,Washington,"Holiday Inn Express - Washington DC Downtown, an IHG Hotel",0,1
Turkish,Washington,Hotel Hive,0,1
Turkish,Washington,Kellogg Conference Hotel at Gallaudet University,0,1
Turkish,Washington,Selina Union Market,0,1
Turkish,Washington,The Normandy Hotel,0,1
Turkish,Washington,Courtyard by Marriott Washington Downtown/Convention Center,3,0
Turkish,Washington,"ARC HOTEL Washington DC, Georgetown",2,0
Turkish,Washington,District Hotel,2,0
Turkish,Washington,Hotel Lombardy,2,0
Turkish,Washington,"The Darcy Hotel, Washington DC",2,0
Turkish,Washington,"2500 Penn, a Placemakr Experience",1,0
Turkish,Washington,Cambria Hotel Washington D.C. Capitol Riverfront,1,0
Turkish,Washington,Comfort Inn Downtown DC/Convention Center,1,0
Turkish,Washington,Duo Housing,1,0
Turkish,Washington,Hamilton Hotel - Washington DC,1,0
Turkish,Washington,Hyatt Place Washington D.C./National Mall,1,0
Turkish,Washington,Hyatt Regency Washington on Capitol Hill,1,0
Turkish,Washington,Motto by Hilton Washington DC City Center,1,0
Turkish,Washington,The Churchill Hotel Near Embassy Row,1,0
Turkish,Washington,The St Gregory Hotel Dupont Circle Georgetown,1,0
Turkish,Washington,U Street Capsule Hostel,1,0
Turkish,Washington,Washington Plaza Hotel,1,0
