Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
New Park Hotel,Ankara,Korean,Romanian,스포츠 서비스를 이용하는 데 연구 하였습니다. 프로파일 리티을 이용함으로쳐 배증장치를 이용항음으로 보는데 도용했습니다.,없습니다.,10,POS
New Park Hotel,Ankara,Korean,Spanish,호텔 인테리어는 아늑하게 잘 꾸며져있었습니다. 방도 깔끔하고 침대는 매우 편안했습니다. 직원들은 친절하게 대응해 주었습니다. 무엇보다 호텔 위치가 너무 좋았습니다. 여러 관광지 방문하기에 편리한 위치였어요.,"아침 식사는 건강식으로 준비되어 있어 좋았지만, 조금 더 다양한 메뉴가 있었다면 좋았을 것 같아요.",8,POS
New Park Hotel,Ankara,Korean,French,"'뉴 파크 호텔'은 매우 좋았습니다. 직원들이 친절하였고, 호텔 시설도 깨끗했습니다. 특히 아침식사가 훌륭했어요.",방음이 잘 되지 않아 약간 소음이 있었습니다. 하지만 많이 거슬리지는 않았어요.,8,POS
New Park Hotel,Ankara,Korean,French,위치가 좋았습니다. 버스 정류장과 가까워 이동이 편리했습니다.,방 청소 상태가 나쁘고 화장실이 불결했습니다. 직원이 전반적으로 친절하지 않았습니다. 식사 옵션도 다양하지 않았습니다.,3,NEG
New Park Hotel,Ankara,Korean,Korean,"호텔 직원들이 매우 친절했고, 맛있는 아침 식사가 제공되었습니다.","하지만 방이 좀 낡고 청결하지 못했으며, 약간의 소음 문제가 있었습니다.",3,NEG
Deeps Hostel Ankara,Ankara,Korean,English(French),"친절한 직원들, 좋은 위치, 깔끔하고 편안한 방. 아침식사도 아주 훌륭했습니다.",방음이 잘 되지 않아서 약간의 소음이 있었습니다.,8,POS
Deeps Hostel Ankara,Ankara,Korean,Spanish,위치가 좋았음,방이 너무 작고 청결하지 않았음,4,NEG
Deeps Hostel Ankara,Ankara,Korean,Spanish,"야화사용, 위치는 중앙지역에 사진 있어 편리하여 운하하는 데 식구도 좋음.","체크인이 너무 늦은 시간 때문에 상당히 야속. 첨계 파상시줄이 있지 않아서 행정을 버렸다. 학생도 많이 입지만, 도쿄가 시끼보다 종종 누렸다.",4,NEG
Best Western Plus Center Hotel,Ankara,Korean,English(Korean),객실은 언제나 깔끔하고 넓었습니다. 직원들의 친절성에는 정말 놀랐습니다.,아침 식사 메뉴가 조금 심심했습니다. 다양성이 필요하다고 생각합니다.,8,POS
Best Western Plus Center Hotel,Ankara,Korean,German,하드워크 작업을 거치는 현재 직원들이 아주 친절하여요. 방이 아주 편안하고 스릴이 조금있네요.,아침식사가 조금 다양하지 않았어요,8,POS
