Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
CONNECT THERMAL HOTEL,Ankara,Romanian,English(German),"Hotelul Connect Thermal este un loc minunat unde să te cazezi în Ankara. Camerele sunt foarte curate și confortabile, personalul este foarte amabil și mereu gata să ajute. Piscina termală este de asemenea un mare plus, fiind foarte relaxantă după o zi de vizitare în oraș.","Da, este un mic inconvenient, cum ar fi lipsa de varietate a mâncărurilor la micul dejun. Cu toate acestea, calitatea acestora este bună.",8,POS
CONNECT THERMAL HOTEL,Ankara,Romanian,English(Korean),"Servicii excelente, camere curate și spațioase. Spa-ul și piscina sunt minunate pentru relaxare.",Nu am avut nicio problemă sau dezamăgire.,10,POS
CONNECT THERMAL HOTEL,Ankara,Romanian,English(German),nan,"Camera a fost prea mică pentru prețul pe care l-am plătit. A fost foarte mult zgomot venind de la stradă. În plus, pereții erau foarte subțiri și puteai auzi tot ce se petrecea în camerele alăturate. Personalul nu a fost suficient de amabil și nu s-a deranjat să rezolve problemele pe care le-am avut. În plus, mâncarea de la restaurant nu a fost deloc gustoasă.",3,NEG
Best Western Plus Center Hotel,Ankara,Romanian,English(Italian),"A fost o experiență plăcută, personalul foarte prietenos și disponibil. Camera curată, paturi confortabile și mic dejun variat și delicios. De asemenea, am apreciat zgomotul redus și poziționarea centrală a hotelului.","Wi-fi-ul putea fi uneori nesatisfăcător și parcarea părea puțin îngustă. De asemenea, baia putea fi îmbunătățită un pic.",8,POS
Best Western Plus Center Hotel,Ankara,Romanian,Spanish,Personalul a fost prietenos si foarte dispus sa ajute,"Camera era mica, mic dejun slab, nu era suficient parcare",4,NEG
Demonti Hotel,Ankara,Romanian,English(Turkish),"Spatiu frumos, curat si camere bine echipate",Micul dejun ar putea fi imbunatatit cu mai multe optiuni locale,8,POS
Demonti Hotel,Ankara,Romanian,English(Korean),"Amplasarea hotelului este convenabilă, relativ aproape de majoritatea obiectivelor turistice.","Confortul camerei a fost sub orice critica, patul a fost foarte inconfortabil, iar curăţenia a fost precară. De asemenea, personalul a fost nepoliticos si neajutorător.",3,NEG
The Green Park Ankara,Ankara,Romanian,Turkish,"Personalul foarte amabil și instruit, servicii excelente, mâncare deosebit de bună","Camere un pic îmbătrânite, ar putea avea nevoie de o renovare",9,POS
The Green Park Ankara,Ankara,Romanian,English(Spanish),NaN,"Personalul foarte nepoliticos, neprimitor. Camera n-a fost curatata pe timpul sederii noastre. In plus, meniul de la restaurant a fost destul de limitat.",4,NEG
Enerji Otel,Ankara,Romanian,English(Romanian),Personalul este prietenos,"Camera a fost neîngrijită, facilitățile de baie vechi și neconfortabile. Mâncarea era mediocră.",4,NEG
Güvenay Business Hotel,Ankara,Romanian,Romanian,Personalul este foarte polite și întotdeauna gata să ajute. Camerele sunt curate și confortabile. Mâncarea de la restaurant este excelentă.,Zgomotul din stradă poate fi uneori deranjant.,8,POS
Güvenay Business Hotel,Ankara,Romanian,Spanish,"Güvenay Business Hotel este o alegere excelentă pentru călătoriile de afaceri în Ankara. Camerele sunt spațioase și curate, dotate cu toate utilitățile necesare. Personalul este prietenos și mereu gata să ajute. Micul dejun este variat și gustos. De asemenea, am apreciat și locația centrală, aproape de majoritatea atracțiilor turistice importante.",Nu sunt dezavantaje majore de raportat pentru acest hotel.,9,POS
Güvenay Business Hotel,Ankara,Romanian,French,"Serviciul de concierge a fost excelente, toți erau foarte prietenoși și utili.",Micul dejun putea fi un pic mai variat.,8,POS
Güvenay Business Hotel,Ankara,Romanian,Korean,Dotări de excepție și curățenie impecabilă.,Uneori conexiunea Wi-Fi era slabă.,9,POS
Güvenay Business Hotel,Ankara,Romanian,English(Russian),"Hotelul Guvenay Business din Ankara reprezinta o alegere excelenta de cazare. Camerele sunt spatioase, conditii excelente de curatenie, dotari moderne si personalul este minunat. Mic dejun variat si gustos.","Un singur minus, situat un pic departe de centrul orasului, dar se compenseaza prin facilitatile oferite.",9,POS
Lion City Hotel Ankara,Ankara,Romanian,English(Spanish),"Hotelul Lion City din Ankara este o adevărată oază de confort și ospitalitate. Camerele sunt foarte curate și bine intreținute, iar personalul este întotdeauna amabil și disponibil să ajute. Poziția centrală a hotelului transformă accesul la principalele puncte de interes într-o plăcere.",Hotelul ar putea să îmbunătățească calitatea mâncării servite la micul dejun.,8,POS
Lion City Hotel Ankara,Ankara,Romanian,Spanish,Hotelul Lion City din Ankara este o alegere minunată pentru călători. Camerele sunt curățate zilnic și bine întreținute. Personalul este foarte prietenos și vorbitor de engleză. Mâncarea este delicioasă și variată.,"Singurul inconvenient a fost conexiunea la Wi-Fi, care a fost un pic nesigură.",7,POS
Lion City Hotel Ankara,Ankara,Romanian,English(Spanish),"Am stat la Hotelul Lion City din Ankara și m-am bucurat de o experiență foarte bună. Personalul a fost extrem de amabil și prietenos, oferindu-ne asistență ori de câte ori am avut nevoie. Camerele erau confortabile și de asemenea foarte curate.",Aerul conditionat functiona destul de greu și nu puteam să-i reglăm temperatura după cum ne dorim.,8,POS
CPAnkara Hotel,Ankara,Romanian,Russian,"Mi-a plăcut foarte mult CPAnkara Hotel. Camera a fost foarte confortabilă și bine echipată. Personalul a fost extrem de prietenos și m-a ajutat cu toate nevoile mele. De asemenea, locația este foarte convenabilă, fiind aproape de multe atracții principale. Aș recomanda cu siguranță acest hotel altor călători care vizitează Ankara.",Nimic de mentionat.,10,POS
CPAnkara Hotel,Ankara,Romanian,Chinese,O locatie minunata cu o atmosfera primitora. Personal amabil si servicii excelente,Nimic de reclamat.,9,POS
Elit Palas Hotel,Ankara,Romanian,English(German),"Cercul larg de servicii oferite, interiorul elegant si atentia personalului au transformat sejurul meu la Elit Palas Hotel într-o experiență memorabilă. Bucătăria lor este incitantă și diversificată, iar camerele curate și confortabile.",Nimic de semnalat.,9,POS
First Apart Hotel,Ankara,Romanian,Korean,"Apartamentul a fost curat, spațios și confortabil. Personalul a fost foarte prietenos și util.",Wi-Fi-ul nu a funcționat întotdeauna la fel de bine cum mi-ar fi plăcut.,8,POS
Grand Ankara Hotel Convention Center,Ankara,Romanian,Romanian,"Hotelul impresionează prin spațiul larg și curat al camerelor, personalul amabil, poziția centrală, precum și vederea magnifică asupra orașului Ankara. Mâncarea a fost, de asemenea, un punct de atracție major - făcută de profesioniști, cu o varietate mare de delicatese.","Chiar dacă este un hotel de lux, anumite servicii, precum internetul, ar putea fi îmbunătățite.",8,POS
Grand Mercure Ankara,Ankara,Romanian,English(Romanian),"Grand Mercure Ankara este un hotel superb cu un personal prietenos și serviabil. Camerele sunt mari și foarte curate, iar restaurantul servește mâncare delicioasă. Locația este excelentă, aproape de multe atracții turistice.",Nu au existat aspecte negative în timpul șederii mele.,9,POS
