Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
Chinese,Ankara,迪万卡拉汉酒店,性价比超高的酒店，虽然价格比较贵，但是享受到的服务环境都还不错。,,10,POS
Chinese,Ankara,迪万卡拉汉酒店,奥斯曼风格的建筑很有特色，房间装修精致，距离安卡拉城堡非常近，附近餐厅多，纪念品小商店多,不知道是不是因为夏季的原因，房间的空调不太给力，房间热；酒店员工会在窗外聊天，不考虑客人是不是在休息；赶上了一场婚礼，酒店把舞台直接安排在我们房间门外，几乎挡住了我们的房门，而且婚礼相当吵闹，我们的门窗都在共振，但员工在我们退房的时候，笑着说sorry,4,NEG
Chinese,Ankara,迪万卡拉汉酒店,非常喜歡酒店的環境氛圍，特別是通過地下通道到達博物館，這是一個驚喜（但入住時酒店服務人員并未告知，是在付費參觀博物館時自己發現的）。酒店位置也非常好，下山很方便，步行即可，酒店附近有很多好吃好玩的地方，傍晚去城墻上品著茶看日落是一年非常愜意的享受。,酒店的空調令人傷心，第一天房間空調不起作用，次日上午出門時告知酒店經理，回來后依然沒有處理，後來搞了半天也沒修好，更沒有因爲服務設施質量問題而主動更換房間。酒店軟硬件嚴重不配套，管理水平有待達標。,5,NEG
Chinese,Ankara,安卡拉卡亚酒店,,冷氣每隔5-15分鐘就會自動關閉，重新開啟有時候也要按三次才會開啟，飯店人員並沒有很積極地幫我們處理此項問題,4,NEG
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,雖因為疫情影響加上老牌酒店旅客很少，但五星級的風骨猶存~這是寶藏好好傳承，比新酒店服務不到位強百倍,,9,POS
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,服务非常差，没有任何服务意识,服务,4,NEG
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,位置ok,"卫生间又破又旧
洗漱用品如家水平
早餐毫无特色",3,NEG
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,離地鐵站近.晚上河邊走走還不錯,浴室門可以更換會加分許多,6,NEG
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,没有早餐，法餐厅牛排不怎么好,卫生间老化,6,NEG
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,位置、价格,设备、服务,6,NEG
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,,在这个软件上提供的关于周边便利店的信息不太完整,6,NEG
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,地理位置非常好,设施陈旧，下水都堵了,6,NEG
Chinese,Beijing,北京长城饭店(原北京喜来登长城饭店）,感觉早餐有点贵，酒店的Wi-Fi非常不好用，时断时续的，房间卫生不是很干净。,,5,NEG
