Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
English,Ankara,Hotel Ickale,Staff. Serkan türk was a great help during our stay.,,10,POS
English,Ankara,Hotel Ickale,"Nicely furnished room and nicely decorated lobby. Room service is affordable and the receptionists, especially Mr. Omar, are usually eager to help with any queries.",,9,POS
English,Ankara,Hotel Ickale,"Very central, near 2 metro stations. Room was spacious with very nice view. The bathroom was large with good water pressure.",The wifi had annoying login that required logging in every time.,9,POS
English,Ankara,Hotel Ickale,Lovely interior.. great location.. friendly staff,"what is not to like
restaurant staff could use aome basic training in communication in English to be able to understand tourists :)",9,POS
English,Ankara,Hotel Ickale,"Thanks to Mr.Serkan, our problems were solved",,9,POS
English,Ankara,Hotel Ickale,Location,Air-con don't work. Temperature in the room was higher than at the street,3,NEG
English,Ankara,Hotel Ickale,Staff were friendly.,The A/C was making ALOT of noise and we couldn't sleep. I am disappointed that they didn't check something like that before giving us the room. Maintenance came by and basically didn't help.,4,NEG
English,Ankara,Hotel Ickale,Nice Furnitures and setups.,"upon checkout, the front desk made me wait as they are counting the items in the fridge to see if anything was stolen and consumed. I ended paying more for my taxi as it kept the taxi waiting.
The internet was bad. it dropped every 2 minutes. Nothing happended after a complaint was made. On Sunday, a guy came to inform me there is completely no internet. I had completely no internet for part of Saturday and all of Sunday",3,NEG
English,Ankara,Hotel Ickale,"property was fine. But if you’re traveling in car - don’t stay here. Hotel said there will be private parking, but they parked our cars on the street and as a result I have a hit on my car. I don’t really recommend it","No car parking even if they say there is.
Your car is always going back and forth on cold engine for no reason
and it’s not safe to park on these streets
Breakfasts was 2 of 5",3,NEG
English,Ankara,Hotel Ickale,,The sound of the aircondition was terrible,4,NEG
English,Ankara,Hotel Cinnah,"The hotel is very comfortable. I liked the interior, it was very clean and the staff was friendly. The food at the hotel was also very good. The hotel is in the heart of the city, there are supermarkets and restaurants nearby. You can also walk in the streets around the hotel. The room is very quiet and warm.","The air conditioner in the bathroom was making a lot of noise, a rattling sound. Maybe the fan was faulty, hopefully that will be fixed.",10,POS
English,Ankara,Hotel Cinnah,"the hotel is located almost in the center of the city, near a park and a street with many cafes and restaurants. The hotel has a wonderful cafe, the staff is polite and very attentive to the guests. Special thanks to Mustafa for help and organization of our leisure time.",small number and dark color palette,9,POS
English,Ankara,Hotel Cinnah,breakfast excellent,nothing,9,POS
English,Ankara,Hotel Cinnah,perfect location,I was quoted in euros when I got to the hotel they charged me Turkish lira which equated to about £7 more. tried to speak to receptionist (a different one from the one that checked me in) He just couldn’t see the problem,9,POS
English,Ankara,Hotel Cinnah,,"A little dark inside the room, better to add an additional light bulb",9,POS
English,Ankara,Hotel Cinnah,"The location is perfect, staff friendly.",The breakfast was not good.,4,NEG
English,Ankara,Hotel Cinnah,Location was ok,"Bathroom was not clean, room very small",4,NEG
English,Ankara,Hotel Cinnah,The rooms are beautiful if having beautiful photos is more important to you than having a comfortable stay.,"We traveled by car with a dog and immediately wrote about it. The hotel told us on the day of check-in at 15:56 (!!!!) that there is an additional charge of 250 TL per day for staying with a dog. There is not a single carpet in the room, only cold tiles. For what the extra charge is not clear. It is also not clear why the hotel did not find a minute during the week to answer us in advance, and not after the check-in time. When I asked why they provided important information after the free cancellation time, they told me (at the front desk) that I could cancel now. Of course, at 10 pm after 6 hours of driving, I will look for another hotel! Absolute disregard for the customer.
There was also no parking space. We were forbidden to stand in front of the hotel, although there were many cars parked there. We were only offered to park the car in the parking lot if we left them the car keys. What is this idea?
The room is very beautiful but absolutely uncomfortable. Very little lighting, impossible to make up. There is only one nozzle in the shower, screwed under the ceiling, it is impossible to wash properly. The feeling that the designer was a womenphobiс. The breakfast is very poor.",4,NEG
English,Ankara,Hotel Cinnah,"The cafe and the staffs were very nice and helpful. We ordered pizza which was very delicious. The cook was talented.
The cleaning lady was very nice and friendly too.
The location of the hotel is really good. You can walk to Tunali Hilmi or even Kizilay easily. I find Tunali a safe place.","First of all they gave us a very bad room which was dirty, too small, the water was not draining in the shower cabin, the bathroom door was broken and one of the light on the wall was not working. After I complaint about the room, they immediately gave us a bigger and much better room. However since the insulation of the windows were not good and our room was at the roadside, it was too noisy because of the traffic. 
The internet connection was very bad. Since I did not have internet on my phone in Turkey, I basically thought that wifi will be fine at the hotel. However it was not working from our room. The wifi was working from the cafe downstairs though. 
I should also say that the receptionists were unprofessional.",4,NEG
English,Ankara,Hotel Cinnah,nothing,"small room, poor lights in room. 
requested tissue in the room but zero response.",3,NEG
English,Ankara,New Park Hotel,"The Hotel was very clean, they have great personal and metro station is just in front of the building.",,10,POS
English,Ankara,New Park Hotel,Nice location opposite to a beautiful park but just a few minutes walk to the restaurants and shopping streets,,9,POS
English,Ankara,New Park Hotel,"Breakfast excellent, there was variety from sweet to savory. The rooms were very comfortable and neat , room service was great. The staff were okay . Internet had good speed. Beds were comfy. The hotel is very good at communicating with customers, they disseminated information about what they offer etc. Good air conditioning","The receptionists, though friendly, seemed not to be well vexed with what’s around them.",9,POS
English,Ankara,New Park Hotel,"The hotel are good the position close tò centro, near a green park. Good of you want ho out and male sport. The price and quality have very good balaced.","The breakfast should be more various, consider also ti inserti espresso. Orange juce and so on",9,POS
English,Ankara,New Park Hotel,Staff - Location,poor breakfast,9,POS
English,Ankara,New Park Hotel,"+The location 
+The breakfast","-The cleaners were rather weird: they threw away our sleepers and shower gel every day
-The receptionists didn’t speak English at all: when we called them and asked to bring the sleepers, they didn’t understand the word until we translated it to Turkish (it was twice) 
-There was a terrible blockage in the sink, we asked the receptionists to fix it, but when we came back to our room, nothing changed 
-Very strong smell of sewage from the bathroom",4,NEG
English,Ankara,New Park Hotel,Location only,Communication,3,NEG
English,Ankara,New Park Hotel,Location is the only positive for this hotel otherwise it should not be ranked as a five star.,"The bedding, the windows, the noise, room sizes. I dont understand why it is a five star?",4,NEG
English,Ankara,New Park Hotel,friendly staff,construction/renovation work loud noise almost next room early in the morning. Street noise is very loud at least for the rooms on the street where windows are not isolating. Mold on the bathroom ceilings or at least this is what it looked like.,3,NEG
English,Ankara,New Park Hotel,"1.The cleaning staff who were friendly and helpful.
2.The location.
3.Most of the receptionist could speak English.","1.The breakfast was not good enough for 5-star hotel.
2.The WiFi gets 3 out of 10.
3.The receptionist weren’t helpful enough.
4.My wife’s marriage rings, which were in our room, disappeared (lost or stolen) and they didn’t provide an appropriate video footage and they told us that we had checked the video and nothing suspicious was in it and when we asked them to show us the video footage they refused it. How can I trust them?!?",4,NEG
English,Ankara,The Green Park Ankara,It was a very good hotel with good customer service,,10,POS
English,Ankara,The Green Park Ankara,"Maybe thanks to the good exchange currency rate, the quality was excellent for money. The spa was nice (you have to pay for it but just once), the structure was very clean and comfortable. Everything is very modern and working well.","The only downside were some of the clerks not speaking great English as I expected - I guess not many tourists pass by. Also, that part of Ankara is a strange mixture of super modern hotels and roads that are more like suburban dusty neighborhoods. But this is just how it works there I guess.",9,POS
English,Ankara,The Green Park Ankara,The view and it was clean,"The staff should learn more english and there should be clearer instructions about the buffet, pool and all facilities",9,POS
English,Ankara,The Green Park Ankara,Hotel is silent and comfortable. Very well located in Cukurambar.,New renovation is lil bir problematic. Old rooms were better.,9,POS
English,Ankara,The Green Park Ankara,The location of the hotel is good. There are many restaurants around the area and Migros was a few minutes away from the hotel. The room was spacious and clean. I stayed on the 17th floor and had really good views of the city.,The staff were not fluent in English but they were welcoming and helpful. The wifi was not strong.,9,POS
English,Ankara,The Green Park Ankara,"The location is good, and I always stay at this hotel.",Breakfast didn't reach. The room had some problems and I couldn't use baseyne free.,3,NEG
English,Ankara,The Green Park Ankara,staff are okay.,Overall set-up. Rooms are chavy. Sadly learned that Hotel has bad reputation in town. We didnt know whilist booking.,3,NEG
English,Ankara,The Green Park Ankara,The structure is potentially nice,"1. The hotel is not responsive at all (tried to contact them via booking like 5-6 times in the time frame of 3 weeks, I never got one single answer)
2. The staff doesn't speak English, very hard to communicate with them (check-in, issues, room service, etc.)
3. The room was not very clean (I got pictures)",4,NEG
English,Ankara,The Green Park Ankara,Nothing significant that worth remembering,"I asked for housekeeping staff to come to the room, it took them 2 hours. I was given a room overlooking the highway with traffic noise but I was told the hotel is fully booked while there were other people still to be checked in at the reception. So they were not telling me the truth. The room needed electrical maintenance because the switches were not functioning well.",3,NEG
English,Ankara,The Green Park Ankara,,staff don’t speak English.,4,NEG
English,Ankara,Grand Mercure Ankara,"Clean and comfortable room, fast check in/out, breakfast, free underground parking",Nothing,10,POS
English,Ankara,Grand Mercure Ankara,"I had a pleasant stay at this hotel. The location is truly unique and the reception staff were quite friendly. The room was relatively comfortable, clean, and well-maintained.","However, the bathroom was a bit small. My only issue was that the cleaning staff unexpectedly entered my room while I was asleep at 9 am, which was quite unsettling.",9,POS
English,Ankara,Grand Mercure Ankara,Perfect location and great comfort.,"The room daily clean up and providing it with water, coffee and toilet soap should be closely improved.",9,POS
English,Ankara,Grand Mercure Ankara,Everything is great,At midnight we couldn’t sleep due to loud music coming from restaurants beside the hotel.,9,POS
English,Ankara,Grand Mercure Ankara,"The staff at the hotel was great and went above and beyond to accommodate our stay. Very friendly and did their best to communicate with me despite my inability to speak or understand Turkish. Our first room had A/C issue, and they immediately moved us to another room. Overall I would likely stay at this location again. Their are pubs and restaurants, right outside the hotel and a mall within 3-5 minutes walking distance.",The A/C is our first room did not work. The A/C in the second room worked to an extent.,9,POS
English,Ankara,Grand Mercure Ankara,location very central,even with the windows closed could hear pumping music from nearby venue till 1am,3,NEG
English,Ankara,Grand Mercure Ankara,Very clean and the location is amazing,"Other than location and cleanliness, not enough was done for the price. I did not eat breakfast at the hotel, so I cannot rate it",4,NEG
English,Ankara,Grand Mercure Ankara,"During my stay I enjoyed the size of the room and the bed, it's really the confort I was looking for. The amenities and the cleanliness were also as expected. On top of that the calmness and configuration of the swimming pool was amazing.","The devil is in the details, and I was disappointed by quite some during my stay. I really did not enjoy the very poor Wifi and the AC was really bad. The check-in was not smooth, it was very difficult to have vegan milk during the breakfast, every day. I had to call several times for the room service to have bottles of water. These are details, but all of them together made the experience not really enjoyable. I would not recommend this hotel for now.",4,NEG
English,Ankara,Grand Mercure Ankara,Location,Cleaning was not done properly,6,NEG
English,Ankara,Grand Mercure Ankara,The location was good.,Unfortunately the airconditioner was not working properly.,5,NEG
English,Ankara,Esila Hotel,"Everything was very good, people of this hotel are very friendly. I liked this hotel's atmosfere. Thanks very much",Nothing,10,POS
English,Ankara,Esila Hotel,Very close to metro,Property can improve the cleanliness at the breakfast area,9,POS
English,Ankara,Esila Hotel,"Great location for my needs, good value for money.",,9,POS
English,Ankara,Esila Hotel,"Great value for proximity to station, booked at last minute as no tickets available for Istanbul. Staff friendly and helpful. Excellent breakfast. Very comfortable beds. A kettle would have been the perfect touch, hence my rating of 9!","A sense of kettle and a smoky smell in the room when we'd asked for non-smoking. Our experience of ""non-smoking"" in Türkiye usually means noone is smoking at that exact moment....",9,POS
English,Ankara,Esila Hotel,"Location ,next to Malteoe metro station if you need local transport.
They also have private parking if you come by car .
Good selection of restaurants and shops near hotel.
Decent breakfast.
Very serviable personel.
Thank you.",,9,POS
English,Ankara,Esila Hotel,The location was very central and the staff was nice and helped us.,The room smelled like cigarettes and there was mold in the bathroom,4,NEG
English,Ankara,Esila Hotel,"The location is excellent for travellers. A 5 minute Metro journey from Ankara bus station, and a 5 minute walk from the train station. That’s why we booked it. Bed comfortable, room well heated, water hot & plentiful.","All staff’s attitude generally poor and one member of staff smoking in the restaurant at breakfast despite large no smoking signs, and I believe it being against the law in Türkiye these days, breakfast average, excessive mould in bathroom - great big patches all around the shower cubicle / bath.",3,NEG
English,Ankara,Esila Hotel,"great location, good breakfast, standard room big enough",room and bathroom in attrition condition,4,NEG
English,Ankara,Esila Hotel,Close to Metro.,Room fills up with smell of cigarette coming from the centre Aircon system. Smell is so bad we cannot rest in the room during the day. Regret booking 2 nights.,3,NEG
English,Ankara,Esila Hotel,"The location was good, close to metro.","The guy in the reception was not cool or helpful. He was rude and unhappy with us. Moreover, the room was not that clean, it had a weird smell.",4,NEG
English,Ankara,Inn 14 Hostel,"Cosy and comfy modern hostel with amazing terrace and perfect location
Stayed twice",,10,POS
English,Ankara,Inn 14 Hostel,"the terace had amazing view and the staff were really helpful, they let me in the common rooms earlier than the check in time and they let me stay in the common rooms after I checked out the room. They also looked after my baggage :) 
the location is the best location in Ankara. safe and easy to get around :)","Im not sure if it was clean enough 🙈
I especially didnt like the bathroom and toilets (I mean it was not Too dirty but facility-vise the bathroom and toilets could be better! also the rooms floor was not too clean …",9,POS
English,Ankara,Inn 14 Hostel,"In one of the best street of Ankara and really cheap. The bed was amazing, with curtains, and even a private TV per bed.","The bathroom was not dirty but many lockers were not working, and it was quite small to take a shower",9,POS
English,Ankara,Inn 14 Hostel,"location is superb, clean, and the bed is very comfy",shower room is too small..,9,POS
English,Ankara,Inn 14 Hostel,The view at balcony,They had no slippers nd toilet ries included in fee.,9,POS
English,Ankara,Inn 14 Hostel,"a very good location with lots of Bars, cafes and restaurants around","the staff were extremely rude and did not want to help you just wanted your money.
We payed for a laundry service, and it came back stinking of cigarette smoke, we questioned this and denied it and we’re extremely rude to us. No atmosphere and not a social hostel, don’t recommend staying here.",3,NEG
English,Ankara,Inn 14 Hostel,The location was great and it was clean.,"The receptionist acts as if he hates his life and hates everyone customer that walks through the door. Very unfriendly and unhelpful in every way. I felt guilty just asking any questions or for help with anything. 
The private room that I booked through Booking.com is not the one I was given. Pictures showed that I would get a wardrobe and a more spacious room. Of course, my room did not have those features. 
Finally, there was no atmosphere. No liveliness in the hostel whatsoever. Felt more like a hospice than a hostel. To make matters worse, the WiFi did not work half the time. Avoid at all costs!",4,NEG
English,Ankara,Inn 14 Hostel,The location was good and the bed was very comfortable.,"The bathroom was so gross that I didn't use the shower. Of course I had to use the loo. One time that resulted in soaking wet pj bottoms from all the water sitting on the floor, like a swamp.
No orientation from the staff.
I was booked in for an upcoming stay but I cancelled within an hour of arrival.",3,NEG
English,Ankara,Inn 14 Hostel,the location was good - lots of coffee shops nearby. could walk to Anitkabir very easily.,"I don’t think I’m particularly fussy but I did not enjoy my stay here. the top bunk has no railing/safety bar aka nothing at all to stop you rolling out. the handle to get to my top bunk had been pulled off the wall so getting into bed was a struggle. the tv in my bunk (is this really necessary anyway..?) showed an error message and couldn’t be turned off so I had to cover it with a towel. the rooms are TINY, the showers are small and flood the bathrooms and there’s no space to get changed. the kitchen is dirty with hardly any cutlery etc. no social atmosphere whatsoever.",4,NEG
English,Ankara,Inn 14 Hostel,Superd location.,"Not a old hostel but the hostel do not really maintain their facilities, e.g. one of the upper bed handle is broken for 6 female dorm & 4 female dorm.",4,NEG
English,Ankara,Güvenay Business Hotel,"comfortable room, good breakfast, good staff, they gave me early check in. location is good, close to two metro stations.",I booked a room with balcony but hadnt. there wasn't tooshbrush also as it was written in the description. they didn't took 3 euro monet money during payment by cash,10,POS
English,Ankara,Güvenay Business Hotel,"Only stayed for 2 nights, good hotel, the best thing about staying here was the kahveci hacibaba cafe/restaurant under the hotel, it was so amazing, the vibe the staff and especially the food, whatever we tried we loved it.",,9,POS
English,Ankara,Güvenay Business Hotel,"Good restaurant, close to railway station",-,9,POS
English,Ankara,Güvenay Business Hotel,The front office manager Mr. Aykut who is helpful and nice. Room was comfortable and housekeeping was efficient. Rana the staff in the breakfast room was friendly and hardworking,"Breakfast should include scrambled eggs and not just boiled eggs. I got bored . But that's what they had to offer. Its OK for 01 or 2days. I stayed for 7days.
Toilets have no tissue box.",9,POS
English,Ankara,Güvenay Business Hotel,Everything was very good,,9,POS
English,Ankara,Güvenay Business Hotel,the valet staff even though i think they might have dent my car.,the staff needs to be more customer eccentric and be more courteous and helpful.,3,NEG
English,Ankara,Güvenay Business Hotel,just the kahveci haci baba cafe.,room was dirty. staff were not friendly.,4,NEG
