Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
French,Ankara,Hotel Ickale,"Pas besoin de tourner pendant un moment pour trouver une place de Parking, un membre de l’hôtel se charge de prendre votre voiture",En soirée la rue n’est pas très familiale,10,POS
French,Ankara,Hotel Ickale,accueil et disponibilité du personnel,un petit peu loin des restaurants,9,POS
French,Ankara,Hotel Ickale,Hotel standing. Parfait rapport qualité/prix.,,9,POS
French,Ankara,Hotel Ickale,"Personnel très serviable, chambre propre et agréable",Passez votre tour pour le petit-déjeuner..,9,POS
French,Ankara,Hotel Ickale,"Très bonne situation, à 20 min à pieds du mausolée d'Atatürk. Place de parking gratuite. Plein de restaurants proches de l'hôtel, ainsi que des supermarchés. Chambre spacieuse, lit confortable, salle de bains neuve, propre, et le tout décoré avec goût. Personnel aimable, serviable. Très bon petit-déjeuner.",Rien,9,POS
French,Ankara,Hotel Ickale,Son emplacement,"Manque de professionnalisme, problèmes divers durant le séjour, ne mérite pas son 5 étoiles",3,NEG
French,Ankara,Hotel Ickale,chambre dans un état vétuste,loin des images que nous apercevons le site web.,3,NEG
French,Ankara,Hotel Ickale,"Chambre très peu isolée de la rue, impossible de dormir en raison du traffic et de l'insonorisation inexistante",le bruit exterieur,3,NEG
French,Ankara,Hotel Ickale,Le Hamam était bien,"L'eau de la piscine est froide, l'accueil était froid aussi, un hôtel digne d'un 3 étoiles européen",5,NEG
French,Ankara,Hotel Ickale,Bon emplacement dans Ankara. Personnel très agréable.,Petit déjeuner moyen. Fuites dans la salle de bain. N'est pas du niveau d'un hôtel 5 étoiles.,6,NEG
French,Ankara,Hotel Ickale,Bel grand hôtel,"Baignoire sur la photo douche à l'arrivée
Bel hôtel mail un peu froid",5,NEG
French,Ankara,Hotel Ickale,"PLe petit déjeuner pas suffisant pour un hôtel de 5 étoiles, pas de climatisation ,chambre pas assez grande pour 2 personnes ,pas de place de parking la voiture était stastioner a l'extérieur",Juste l emplacement de l'hôtel,5,NEG
French,Ankara,New Park Hotel,"Hotel Parfait ! 
Je le conseil vivement. Etant client depuis plusieurs année je ne changerai pour rien d'autre. N'hésitez pas un instant !!",Tout était parfait et le personnel aux petits soins. Appliquer une remarque serait honteux.,10,POS
French,Ankara,New Park Hotel,"L’emplacement, la chambre et le personnel professionnel et respectueux.",,9,POS
French,Ankara,New Park Hotel,"Belle chambre avec vue sur le park.
Hotel très propre.
Tour le personnel est professionnel et respectueux.",,9,POS
French,Ankara,New Park Hotel,classe propre bien placé,,9,POS
French,Ankara,New Park Hotel,"L'emplacement était idéal 
Chambre très confortable et personnel aux petits soins 
Accès au spa gratuit sans réservation",,9,POS
French,Ankara,New Park Hotel,"- le sauna 
- le personnel très attentif et à l'écoute 
- les produits pour la douche 
- petit déjeuner plus que complet et bon","- l'isolation (c'est comme si vous dormiez dans la rue vous entendez TOUT même les client dans les pièces adjacentes).
- le hammam (pas joli et surtout mal nettoyer, transpiration des autres clients partout et moisissures sur le toit).
- les massages (car aucun réel renseignement, on vous dit faible, moyen ou fort) , les masseuses ne préviennent pas quand ça risque de faire mal. Presque une torture, je suis sortit du massage pas du tout relaxé et les prix sont cher pour se qu'on vous propose j'ai trouvé (en comparant avec d'autres masseurs))",5,NEG
French,Ankara,New Park Hotel,Juste l'emplacement,"- les équipements dans la salle de bain sont vieux 
- des remontées d'odeur terribles dans la salle d'eau",6,NEG
French,Ankara,New Park Hotel,L'emplacement de l'hôtel,"J'avais un surclassement lors de la réservation, mais à mon arrivée certes un peu tardive j'ai eu une petite chambre. Après réclamation on m'a promis un changement le lendemain. Finalement aucun changement de chambre n'a eu lieu",6,NEG
French,Ankara,New Park Hotel,"La chambre et le confort des lits et équipements
le petit dej (buffet copieux et diversifié)","Le personnel (ambiance glaciale !!! froid, distant, fuyant, impression qu'ils avaient peur de parler anglais ! non maitrise de l'anglais (room service, réception, petit déjeuner , limite désagréable avec les ""touristes"")
A éviter, d'autres hôtels sur Ankara présentent de bien meilleures prestations de services et confort pour le même prix voir moins cher ! 
déçu du rapport coût/qualité et service.
Heureusement que nous avons rencontré d'autres personnes au cours de notre voyage en Turquie et que ce séjour ait été bref dans cet hôtel ! hospitalité et bienveillance = 0",6,NEG
French,Ankara,New Park Hotel,Variété du petit déjeuner,"Pas de climatisation, il faisait chaud dans les chambres. Il fallait ouvrir les fenêtres avec les bruits de dehors.",6,NEG
French,Ankara,Hotel Cinnah,"Le cadre et la décoration, le personnel et la restauration, le calme…",Rien de particulier,10,POS
French,Ankara,Hotel Cinnah,décoration propreté emplacement,,9,POS
French,Ankara,Hotel Cinnah,Excellent rapport qualité prix,,9,POS
French,Ankara,Hotel Cinnah,"Hôtel est super, la dame de l’accueil est très très gentille. 
Le petit dej est aussi très bien 
Je recommande cet hôtel",Rien,9,POS
French,Ankara,Hotel Cinnah,La situation géographique,"Très belle hôtel super bien situé.
Pas le grand luxe mais juste ce qu'il faut.",9,POS
French,Ankara,Hotel Cinnah,,La situation de l’hôtel est désastreuse - il se trouve sur une voie excessivement passagère donc bruit continu.,3,NEG
French,Ankara,Hotel Cinnah,le personnel très accueillant et chaleureux,Manque de confort (lit).,6,NEG
French,Ankara,Hotel Cinnah,L'emplacement il est situé au centre de la ville autour des commettent restaurants.,Le lieu géographique,5,NEG
French,Ankara,Hotel Cinnah,Le personnel,La propreté,5,NEG
French,Ankara,Latanya Hotel Ankara,l'emplacement de l'établissement l'accueil la chambre et le petit-déjeuner il y a tellement de choix qu'on sait pas par où commencer à conseiller,Tout est parfait,10,POS
French,Ankara,Latanya Hotel Ankara,Salle de sport bien équipée,Absence de machine à expresso fonctionnelle,9,POS
French,Ankara,Latanya Hotel Ankara,"la grande gentillesse de toutes les personnes travaillant dans l'établissement
la tranquillité 
les espaces",,10,POS
French,Ankara,Latanya Hotel Ankara,déjeuner bien franchement,"la congélateur fonctionne pas . salé 
à l'intérieur pas de boissons . il n'y a rien de plus dans la chambre sale de bain pas propre",3,NEG
French,Ankara,Latanya Hotel Ankara,Manque de service pour un hôtel 5 étoiles,,4,NEG
