Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
German,Ankara,Hotel Ickale,hotel war sehr sauber und sehr zentral,,10,POS
German,Ankara,Hotel Ickale,"Hotel liegt zentral in 20 Minuten in kizilal und in 20 Minuten Atatürk muselum 
Personal war sehr freundlich an der resepsion Herr Serkan (und andere poerte Herr Selahattin 
Sehr freundlich",Bett war sehr hart,9,POS
German,Ankara,Hotel Ickale,Am besten hat mir gefallen dass das Hotel nicht hellhörig war. Man hat keinen Lärm von draußen gehört. Unser Zimmer war im 8. Stockwerk. Die Aussicht war naja in Richtung Straße halt. Wir hatten einen schönen Balkon das war auch sehr gut.,"Es sollte etwas vorbereitet werden leider wurde dies nicht getan dafür haben wir aber einige Sachen aufs Haus bekommen, wie zB Zwei Obstteller mit Snacks und einen Eis-Eimer und eine Cola Flasche inkl Whiskey Gläser. Das Frühstücksbüffet war sehr überschaubar, man erwartet vielleicht ein bisschen mehr Auswahl für ein 5* Hotel.",9,POS
German,Ankara,Hotel Ickale,"Lage
Sauberkeit",Schwimmbad,9,POS
German,Ankara,Hotel Ickale,"Freundliches Personal (vor allem die Bellboys/ Vale Parking).
Lobbyeinrichtung ist sehr schön.",Spa Duschbereich im Untergeschoss ist renovierungsbedürftig.,9,POS
German,Ankara,Hotel Ickale,Ein sehr schönes Hotel in zentraler Lage. Wir haben uns dort wohl gefühlt. Das Personal war sehr nett und freundlich. Vielen Dank für den schönen Aufenthalt.,,9,POS
German,Ankara,Hotel Ickale,nur die Lage,"das zimmer, die dusche, der boden war dreckig. die Handtücher rochen nicht angenehm",4,NEG
German,Ankara,Hotel Ickale,super Lage. sehr sehr nette Mitarbeiter und toller Service am Empfang.,"eins der zwei Zimmer war nicht sauber - Nachttisch dreckig, Dusche mit Haaren, Bett mit Haaren.",4,NEG
German,Ankara,Hotel Ickale,PERSONAL,"Zimmer, Frühstück",4,NEG
German,Ankara,Hotel Ickale,Das hotel ist einfach viel zu alt. Ehrlich gesagt ist es 3 sterne,Nicht sauber habe nicht im hotel duschen können. Wir hatten gesamt zwei zimmer beide schlecht sauber gemacht worden,3,NEG
German,Ankara,Hotel Ickale,Freundlichkeit und Hilfbereitschaft des Personals,"-sehr altgebacken
-das Zimmer war nicht sauber
-Ausblick vom Balkon war erschreckend
-keine Parkplätze vorhanden, nur Valet parken",4,NEG
German,Ankara,Hotel Ickale,,Unter 5 Sterne Hotel stelle mir was anderes vor. Unser Bett hat bei jeder Bewegung gequitscht. Zimmer sah nicht so aus wie auf dem Bild und alles war sehr alt. Kartenschlüssel hatte paar mal nicht funktioniert. Nachts war es immer sehr laut weil das Fenster undicht ist.,4,NEG
