Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
Italian,Ankara,New Park Hotel,"Staff molto gentile, veramente. Colazione tipica ricca. Camera pulita molto bene, spaziosa. Letti grandi e comodi. Bagno in ordine.",,10,POS
Italian,Ankara,New Park Hotel,"Struttura carina, forse più un 4 stelle che un 5.
Colazione ottima- molto varia e abbondante.","Non capisco perché tengono un pianoforte, solo per appoggiare dei fogli.
Mio figlio ha chiesto 3 volte di suonare il pianoforte, e sempre gli è stato negato, per diversi motivi",9,POS
Italian,Ankara,New Park Hotel,Struttura bella e pulita. Vicinissimo alla metro e centro città raggiungibile a piedi. Letto e cuscini comodissimi.,Il bagno turco aveva un odore strano.. muffa?,9,POS
Italian,Ankara,New Park Hotel,"camere pulite, buona posizione, buona ristorazione, ottima colazione e ottima spa",,9,POS
Italian,Ankara,New Park Hotel,"Camere ben curate e molto moderne (e senza moquette). Assistenza immediata per parcheggiare la macchina. Il ristorante in loco, che dopo una giornata di lavoro e un lungo viaggio è sicuramente un plus per chi come noi era troppo stanco per uscire.","Se le finestre si potessero insonorizzare un po', sarebbe tutto perfetto. Purtroppo trovandosi su di una strada molto trafficata il rumore si sente.",9,POS
Italian,Ankara,New Park Hotel,,"Avevo prenotato su Booking una suite di 44 metri quadrati ma al mio arrivo mi assegnano una camera più piccola. Ritorno alla reception dove chiedo di avere la camera grande che avevo pagato e me la danno. Tuttavia nella nuova camera mentre mi faccio la doccia mi ritrovo sulla pelle la vernice del soffitto della doccia stessa (vedi foto); tra l’altro il soffione era danneggiato e l’acqua scorreva in maniera anomala (vedi foto). Ritorno alla reception e chiedo di cambiare di nuovo camera… rifaccio i bagagli che avevo precedentemente disfatto e mi sposto ancora… mi devo accontentare della stanza più piccola ma almeno posso farmi una doccia decente. Nella nuova stanza un ticchettio meccanico continuo mi disturba per tutto il pomeriggio finche non decido di scrivere al manager che manda qualcuno a spegnere un motore elettrico della ventilazione. Se non avessi pagato in anticipo, al check-in, me ne sarei andato. Inaccettabile, soprattutto da un hotel che si spaccia per essere un cinque stelle. Unica nota positiva la gentilezza e la disponibilità del personale.",3,NEG
Italian,Ankara,New Park Hotel,"Ottima colazione, e servizio SPA",,6,NEG
Italian,Ankara,New Park Hotel,,"Avevo prenotato su Booking una suite di 44 metri quadrati ma al mio arrivo mi assegnano una camera più piccola. Ritorno alla reception dove chiedo di avere la camera grande che avevo pagato e me la danno. Tuttavia nella nuova camera mentre mi faccio la doccia mi ritrovo sulla pelle la vernice del soffitto della doccia stessa (vedi foto); tra l’altro il soffione era danneggiato e l’acqua scorreva in maniera anomala (vedi foto). Ritorno alla reception e chiedo di cambiare di nuovo camera… rifaccio i bagagli che avevo precedentemente disfatto e mi sposto ancora… mi devo accontentare della stanza più piccola ma almeno posso farmi una doccia decente. Nella nuova stanza un ticchettio meccanico continuo mi disturba per tutto il pomeriggio finche non decido di scrivere al manager che manda qualcuno a spegnere un motore elettrico della ventilazione. Se non avessi pagato in anticipo, al check-in, me ne sarei andato. Inaccettabile, soprattutto da un hotel che si spaccia per essere un cinque stelle. Unica nota positiva la gentilezza e la disponibilità del personale.",3,NEG
Italian,Ankara,Hotel Ickale,"cortesia dello staff, pulizia generale della struttura e colazione ricca. non essendo amante dei dolci ho apprezzato molto la verdura preparata in vari modi","arretro un po' retró, lo scarico del lavandino con problemi di scarico",10,POS
Italian,Ankara,Hotel Ickale,colazione eccellente. posizione centrale,,9,POS
