Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
Korean,Ankara,New Park Hotel,싸고 침대가 진짜 너무 좋아요,없어요,10,POS
Korean,Ankara,New Park Hotel,중심가에서 가깝고 바로 앞 공원이 있어서 산책하는데 좋다,"코로나 때문에 조식은 직원이 직접 가져다 주는데 터키식 아침식사인데 딴 곳 보다 못하다.
인터넷 보안 때문에 문제가 없는 사이트인데 차단이 되었다.",9,POS
Korean,Ankara,New Park Hotel,가성비,5성급 호텔의 직원교육 및 시설은 절대 아닙니다. 방음 또한 최악입니다.,5,NEG
Korean,Ankara,New Park Hotel,위치가 좋습니다. 조식이 훌륭합니다.,방안에 기둥이 있어서 충돌 위험이 있습니다. 화장실 성태거 최악입니다.,5,NEG
Korean,Ankara,New Park Hotel,아침식사 좋았음. 써비스 좋음.,"5스타 호텔이라고보기에는 조금 아쉬움,",8,POS
Korean,Ankara,Deeps Hostel Ankara,"2층 샤워실 뜨거운물 잘나오고 수압 대박
크즐라이 광장까지 가까움",쉬틓뢍 벳겠잍울 좔 과눈곳 괕쥐왆욺,10,POS
Korean,Ankara,Deeps Hostel Ankara,"싼 가격, 좋은 위치, 친절한 직원","친절함과 성실함의 반비례? 1층 샤워기 빵꾸나있고 샤워실 배수구 막혀있고 시트랑 베개 엄청 더러움. 4인실에는 에어컨이 없음. 덥고 창문 안 열면 더워서 못자기 때문에 창문을 열지만 모기가 들어옴 이틀 밤 다 물림. 6인실이 더 싼데 6인실에는 에어컨 있더라구요. 시설에 대한 불만은 많지만, 직원은 뭐 그나마 착한 편…",3,NEG
Korean,Ankara,Deeps Hostel Ankara,"가격이 좋다
위치가 괜찮다","침대 커버랑 베게 커버가 깨끗하지 않다.
화장실, 샤워실이 깨끗하지 않다.
주방 역시 깨끗하지 않은 느낌이다.
전반적인 청결도가 아쉬운 곳이다.
직원의 친절도는 그럭저럭",6,NEG
Korean,Ankara,Best Western Plus Center Hotel,"위치가 좋았습니다.
조용하고 편안했습니다.
시설, 비품 다 좋았습니다.
직원들도 친절하고 체크인아웃도 빨랐습니다.","조식 빵종류가 아쉽습니다.
샤워시 물이 밖으로 새어나올 수밖에 없었습니다.",10,POS
Korean,Ankara,Best Western Plus Center Hotel,"성의껏 만든 아침식사, 가격 대비 넓은 공간. 말 그대로 가성비가 좋습니다.",주위가 너무 시끄러웠어요. 새벽 2시까지 술집의 음악 소리가 크게 들려요. 감안하고 가셔야 할 듯합니다.,8,POS
Korean,Ankara,Inn 14 Hostel,"오토가르에서 도보 15분?쯤 걸린거같음
시설은 좋음",샤워실이 많이 좁긴하다,10,POS
Korean,Ankara,Raymar Hotels Ankara,위치가 좋고 조식이 맛있어요!,,9,POS
Korean,Ankara,아살 호텔(Asal Hotel),직원이 친절하고 조식이 좋았다,,9,POS
