Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
Romanian,Ankara,CONNECT THERMAL HOTEL,"locație, personalul, curățenia , piscinele și mâncarea !",,10,POS
Romanian,Ankara,CONNECT THERMAL HOTEL,"Hotelul arată foarte bine. Personalul este foarte amabil. Fac eforturi să fie totul ok. Ne.a plăcut masa, îndestulătoare.",Nu prea cunosc limba engleză. Ne.am descurcat cu google translate.,10,POS
Romanian,Ankara,CONNECT THERMAL HOTEL,,personalul și curatenia iar amplasamentul hotelului este intr- o mahala din Turcia,1,NEG
Romanian,Ankara,Best Western Plus Center Hotel,"Totul a fost excepțional, începând cu amabilitatea personalului și terminând cu condițiile de cazare, foarte bune.
Camera ok, micul dejun, ok.
Totul ok.",,10,POS
Romanian,Ankara,Best Western Plus Center Hotel,,Mic dejun foarte slab,5,NEG
Romanian,Ankara,Demonti Hotel,E pozitionqt bine.,Camere mici si pozele de pe site nu sunt reale.,8,POS
Romanian,Ankara,Demonti Hotel,Poate doar pozitionarea centrala,"Camera nu era de 4 stele, la cabina de dus pica usa, curgea apa din cadita de dus in exterior",2,NEG
Romanian,Ankara,The Green Park Ankara,Proprietatea bine pozitionata,"Angajații hotelului se comporta ca și cum patronează acest hotel,păcat..",7,POS
Romanian,Ankara,The Green Park Ankara,"Locatia e buna,personalul din vechi care știau ca sunt clienta hotelului de cel puțin 5 ani a fost ok.
Camere spatioase,curate..
D-nei Esma mulțumiri anticipate.","Nesimțirea receptionerilor,o fata și un băiat, nu le am reținut numele.
Au fost reci,plini de ei răspunzând cu Nu apăsat la tot ce a ce intrebam.
Am dorit sa vorbesc cu cineva din staff ul hotelului si mi au spus ca sunt plecați din localitate",1,NEG
Romanian,Ankara,Enerji Otel,"Locatie excelenta, in centrul orasului, mic dejun proaspat si gustos.","Camerele si prosoapele nu au fost curate. Micul dejun si locatia au fost excelente, destul a lasat de dorit: mizerie in camera, mizerie in hotel, fara locuri de parcare. Nota maxima pt acest hotel ar fi 6.",6,NEG
Romanian,Ankara,Güvenay Business Hotel,"Poziționare excelentă, aproape de stația de metrou, camera triplă spațioasă, mic dejun îndestulător, terasa cu vedere magnifică în ambele părți ale orașului",Nimic,10,POS
Romanian,Ankara,Güvenay Business Hotel,"Hotel curat, camera mare, apa si ceaiul gratuite, mic dejun ok, zona ok, aproape de Luna Parc, de gara.","Au probleme cu wi-fi ul, desi routerul era langa camera, nu se loga. 
Am avut ceva problema cu vasul de toaleta, si desi am sesizat nu a venit nimeni sa verifice dar intr-un final spre seara s-a rezolvat de la sine.",9,POS
Romanian,Ankara,Güvenay Business Hotel,Camere mari și curate,Internetul nu a funcționat bine,9,POS
Romanian,Ankara,Güvenay Business Hotel,"Exact cum spune si numele...este un Business Hotel. Curat, elegant si cu bun gust.","Mic dejunul poate sa fie mai variat si mai de calitate. E adevarat ca parcarea e gratuita si este pe strada, numai ca personalul hotelului, ne-a parcat masina pe o stada din statele cladirii, iar a doua zi masina era atat de murdara si lipicioasa pe geamuri, incat nu puteai sa conduci. A fost obligatoriu sa ne oprim la o spalatorie auto.",9,POS
Romanian,Ankara,Güvenay Business Hotel,Amplasarea hotelului....,,10,POS
Romanian,Ankara,Lion City Hotel Ankara,"Curățenie, camere spațioase, parcare gratuită în fața hotelului, 50 minute de mers pe jos până la bulevardul principal Atatürk, baie spațioasă cu presiune bună la duș","Ferestrele nu se închid cum trebuie și din această cauză se aude zgomotul din drum, salteaua patului este cam tare ar trebui adăugat un topper mai moale puțin",10,POS
Romanian,Ankara,Lion City Hotel Ankara,"Personal ok, curatenie ok, parcare in fata hotelului, statie de metrou aproape, unitati servire masa in apropiere",,9,POS
Romanian,Ankara,Lion City Hotel Ankara,"facilitatile, curatenia,",personalul din receptie nu cunoaste o limba de circulatie internationala,9,POS
Romanian,Ankara,CPAnkara Hotel,Conditii excelente raport calitate pret.,Totul ok,9,POS
Romanian,Ankara,CPAnkara Hotel,"Curățenia, locația.","După pandemie prețul micului dejun a crescut practic în toate hotelurile. In unele hoteluri această creștere este de câteva ori. Pentru ceia ce se oferă la micul dejun, cred că e un preț prea mare.",10,POS
Romanian,Ankara,Elit Palas Hotel,"Camera spatioasa si conforma nevoilor noastre!
Curatenie si personal amabil.
Mic dejunc bun.",,10,POS
Romanian,Ankara,First Apart Hotel,Personalul foarte amabil,Mu e cazul,10,POS
Romanian,Ankara,Grand Ankara Hotel Convention Center,exclusiv design,personalul de la Recepție,8,POS
Romanian,Ankara,Grand Mercure Ankara,"Piscina încălzită și Centrul SPA gratuite, parcarea subterana fără costuri, toți foarte amabili, micul dejun, camerele curate, securitatea, mai e de spus ca hotelul se afla într-o zona plina de terase și restaurante, cu promenadă, mai multe hoteluri, este și un Mall în apropiere la aproximativ 100m.",,10,POS
Romanian,Ankara,Gurkent Hotel,"Locația, camera, curatenia","Baia ar trebui renovata, toate obiectele sanitare sunt foarte vechi.",10,POS
Romanian,Ankara,Gurkent Hotel,"Este in centrul orasului , langa o statie de metrou . Magazine si restaurante foarte aproape de hotel Parcarea gratuita este in fata hotelului .Obiectivele turistice sunt la distante de mers pe jos .Din cauza pandemiei micul dejun a fost servit la masa dar a fost bun si suficient .Wifi este destul de bun .A fost curat si ne-am simtit bine . Personalul de receptie vorbeste engleza si este foarte amabil .Multumim",Nu e chiar un hotel de 4*.... in realitate este un hotel foarte bun de 2* sau un hotel bunicel de 3* . Nu este pentru persoane pretentioase .,8,POS
Romanian,Ankara,Kahya Hotel Ankara,"Locație curată. camera spațioasă, pat confortabil!",Micul dejun nu a fost variat. dar nu e problema!,9,POS
Romanian,Ankara,Kahya Hotel Ankara,un hotel decent.raportul [pret calitate este echitabil.,micul dejun este slabut.ar putea sa diversifice produsele si sa puna pe mese si ceva carne ca nu toata lumea e vegana.,8,POS
Romanian,Ankara,Latanya Hotel Ankara,Hotelul este amplasat in centru. Foarte frumos. Curat. Merita 5 stele.,Nu am gasit ceva care sa nu imi placa.,10,POS
Romanian,Ankara,Latanya Hotel Ankara,"In primul rand CURATENIA
in al doi-lea rand PERSONALUL
In al trei--lea rand FACILITATILE",Catrela de la camera trebuie actualuzata in fiecare zi,10,POS
Romanian,Ankara,Mina 1 Hotel,"Personalul foarte cooperant, parcarea păzită, curățenia, chiar și micul dejun a fost suficient, cu toate că mulți spun că este sărac. Păi la 108 euro plătiți pentru 2 camere, 2 nopți în care au stat 2 adulți și 2 copii cu mic dejun inclus, eu nu știu ce pretenții poți avea, dar cu toate astea ei se chinuie să facă totul cât mai bine și la preturi derizorii, părerea mea.","A fost cineva înaintea mea în cameră care a fumat, dar asta ține de bunul simț al fiecăruia, nu pot imputa nimic hotelului.",10,POS
Romanian,Ankara,Mina 1 Hotel,"Camera mare, spațioasă cu pat confortabil","Mic dejun direct făcut, nu aveai ce sa alegi.",7,POS
Romanian,Ankara,Niza Park Hotel,Un hotel în care m-am simțit foarte bine. Personalul extrem de amabil.,,10,POS
Romanian,Ankara,Niza Park Hotel,"mic dejun foarte bun, personal prietenos",cam departe de obietivele turistice si centrul orasului,9,POS
Romanian,Ankara,Point Hotel Ankara,"Facilitati moderne, pozitia restaurantului la ultimul nivel, cu vedere panoramica.","Personalul uneori are o politete falsa, nu sti sigur daca asteapta sau nu bacsis.",8,POS
Romanian,Ankara,Point Hotel Ankara,Amabilitatea personalului!,"Diferența între 4 și 5* stele este enormă. Pernele sunt foarte incomode, micul dejun a fost destul de sărăcăcios.",8,POS
Romanian,Ankara,Sahinbey Hotel,"Locația este minunată ,aproape de muzeu, de obiectivele istorice. Personalul a fost foarte amabil, micul dejun excelent. Hotelul are parcare, ceea ce pentru noi a fost un mare avantaj. Recomandăm!",,9,POS
Romanian,Ankara,Sahinbey Hotel,"Locație, curățenie, micul dejun.u",În aproape fiecare camera miroase a fum de țigară.,9,POS
Romanian,Ankara,The Ankara Hotel,"Camerele mari, bai mari,curate. Micul dejun ok, parcare proprie. Hotelul arata ca și în imaginile din descriere","Am avut 2 camere rezervate și în una când am ajuns era foarte rece, aerul condiționat era pus la 16 grade. Trebuia sa fie mai atenți având în vedere ca am venit cu copii mici și cu bebelus.
Au vrut sa ne încaseze costul unui pachet de fistic din bar pe care noi nu l-am consumat. În final după lungi discuții am reușit sa ii convingem ca noi nu am consumat nimic. Trebuie sa fie mai atenți când aprovizionează mini barul nu sa încarce clienții cu ce nu au consumat.",9,POS
Romanian,Ankara,The Ankara Hotel,"Locatia,designul,personalul amabil.
Pentru mine este un hotel de 5 stele.
Se ajunge foarte usor in zona centrala pe jos sau cu metroul.","Din pacate,din cauza perioadei covid micul dejun nu a fost ceea ce-mi imaginam.
Fiecare oaspete avea o farfurie deja pregatita cu diverse alimente.",9,POS
Romanian,Ankara,Akar International Hotel,"Gazde foarte amabile, primitoare, camera mare, curată, paturi confortabile, parcare proprie în fața hotelului, micul dejun, bufet, diversificat.",,10,POS
Romanian,Beijing,Hilton Beijing,Locatia,"Personalul foarte slab pregatit .mobilierul vechi ,un hotel de maxim 4 stele",4,NEG
Romanian,Beijing,Beijing Yue Bin Ge Courtyard Hotel,"Amplasarea si faptul ca este o casa ""gospodarie"" traditionala chinezeasca veche din Beijing, cu curte interioara, transformata in pensiune. Este pitoresc, curtea interioara acoperita cu ciller pt zilele caniculare, camerele cu mobila veche dar bine intretinuta au farmecul lor.","Curios a fost faptul ca spre deosebire de Kunming si Shangri-La a trebuit sa solicitam sapun, sampon, iar apa era doar contra cost. In camera nu s-a facut curat in nici una din cele 3 zile, doar au ridicat gunoiul din baie.",7,POS
Romanian,Beijing,"Holiday Inn Express Beijing Dongzhimen, an IHG Hotel","Localizare, micul dejun",,9,POS
