Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
Russian,Ankara,Hotel Abro Sezenler,"Отдыхали в этом отеле с 9.05.2021 по 11.05.2021. Отель хороший, завтрак тоже хороший, даже традиционный суп Çorba подавали утром. Отзывчивый и дружелюбный персонал, говорят и английском. Приняли раньше, чем нужно, за это не доплачивали. Хорошее месторасположение, в 3 минутах от метро. Дизайн номера очень понравился.","Дверца душа была сломана, из-за этого вода протекала на пол",10,POS
Russian,Ankara,Hotel Abro Sezenler,Расположение,Не было уборки,10,POS
Russian,Ankara,Hotel Abro Sezenler,"Расположение, обслуживание, чистота",Не нашел,10,POS
Russian,Ankara,Hotel Abro Sezenler,"Район хороший, есть много кафешек. На ресепшене плохо понимают английский, но с переводчиком все гуд. Сама комната большая, есть стол для работы. Еще нам разрешили взять второй стол с коридора. Завтрак однообразный, но неплохо. Кофе/чай с утра, несколько бутеров, яйца. Хороший интернет. Для работы, игр супер",В комнате было холодно,9,POS
Russian,Ankara,Hotel Abro Sezenler,"Все понравилось. Останавливался на одну ночь. Номер очень небольшой, переночевать подойдет. Все было чисто и аккуратно. Wi-fi в номере работал очень слабо. Хороший сигнал был в зоне ресепшн. В 5 минутах от метро, в центральной части города.",,10,POS
Russian,Ankara,Hotel Abro Sezenler,"Расположение: все нужные объекты находятся рядом— супермаркет Мигрос, столовая(напротв, называется Аспара, готовят супер), кафе, банки. Главная улица Неджати Бей. Теперь о цене: очень дёшево, и этим всё сказано.","Комнаты в ужасном состоянии. Грязно. Кондиционер не работает. У окон сломаны ручки для открывания. Матрацы жёсткие, чувствуется внутреняя пружина,, даже тапочек нет, ели выпросил. Вобщем полный беспредел. Не советую никому.",4,NEG
Russian,Ankara,Hotel Abro Sezenler,мало что понравилось,бронировали две раздельные кровати дали одну,4,NEG
Russian,Ankara,Hotel Abro Sezenler,Месторасположение. Нормальный завтрак.,"Большая слышимость, слышно как в соседнем номере разговаривают. Уборка только если просишь сам. Не хватает полотенец (нет для ног и маленьких), старый ремонт, прокуренные номера, грязные шторы. Нет чая, воды, куллера, чайника.... Приходилось стаканчики с чаем из соседнего кафе приносить.",4,NEG
Russian,Ankara,Hotel Abro Sezenler,Расположение и завтрак нормальный,Обещанный кондиционер не работает. При жаре +36. Кровати неудобные.,3,NEG
Russian,Ankara,Hotel Abro Sezenler,Только местоположение.ну и неплохой завтрак,"Грязно,кондиционеры в отеле не работают(возможно просто отключены из экономии)по этой же причине фены тоже.",3,NEG
Russian,Ankara,Hotel Abro Sezenler,Расположение отеля,"Матрас грязный весь в пятнах ,пружины торчат , шторы в номере грязные , душевая кабинка вся протекает везде грибок",3,NEG
Russian,Ankara,Hotel Abro Sezenler,Уже останавливался в этом отеле. Тогда был шикарный номер и самые лучшие впечатления. Сейчас тесная угловая комната. К кровате подходишь боком. Кондиционер дует прямо на кровать. Или духота или прямо на тебя.,"В комнате ни разу не убирали, мусор никто не выносил. Звукоизоляция ужасная. В 5 утра в мечете служба в номере все слышно да и с улице шум слышен всю ночь. Завтрак очень скудный. Нормальный wi-fi только на первом этаже. в комнате фактически отсутствует.",3,NEG
Russian,Ankara,Hotel Abro Sezenler,"Часть персонала хорошо выполняла свою работу
Удобное расположение
Завтраки включены
Нам пошли навстречу и поменяли нам номер
Был хороший вид из окна","Грязно
Маленький туалет
Вай фай в нашей комнате работал плохо
Ключ от двери постоянно размагничивался
При заселении не было мыла
При уборке меняют постельное белье и полотенца, на этом все
Нельзя было принести кипяток в номер
В ванной комнате отсутствовал крючек для одежды
Персонал не говорил на английском
Неудобная кровать
Медленный лифт",6,NEG
Russian,Ankara,Hotel Ickale,"Всё понравилось! Хороший отель, хороший номер и хорошее место расположения!",Нареканий нет.,10,POS
Russian,Ankara,Hotel Ickale,"Хорошее расположение для транзитной ночёвки, собственный паркинг, хороший завтрак","К сожалению, в спа комплексе был закрыт бассейн, а он являлся одной из причин выбора отеля",9,POS
Russian,Ankara,Hotel Ickale,"Хороший отель, прекрасный добрый персонал, отвечали на все вопросы и решали их в одно мгновение. Мы путешествовали на арендованной машине по Турции, поэтому искали отель с парковкой, парковка прям около отеля у дороги или как я понял увозят иногда куда-то на задний дворик. Отличный спа-центр, бассейн, сауны, массажные процедуры, есть свой мини тренажёрный зал. Мы отмечали Новый Год 2023 в отеле, в огромном лобби отеля красовалась огромная оформленная ёлка. В целом очень шикарный залипательный отель.","Всё просто шик, единственно в номере было прокурено, но персонал всячески пытается затмить запах сигарет всякими арома штуками, что собственно гуд!",9,POS
Russian,Ankara,Hotel Ickale,"Просторный номер, ванная комната на нормальных размеров, постель удобная, сервис в номер быстрый, уборка ежедневно","Везде очень накурено (в холле, ресепшене и тд), завтрак никакой из свои деньги",9,POS
