Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
Spanish,Ankara,Hotel Ickale,Buena ubicación. Bonitas instalaciones.,,10,POS
Spanish,Ankara,Hotel Ickale,Confortable y el desayuno,Pagar por el uso de la piscina,9,POS
Spanish,Ankara,Hotel Ickale,"El personal fue encantador y nos ayudó a la hora del check-out, guardando el equipaje más allá de la hora establecida.",El desayuno no es lo mejor: el simit no era fresco y el menemem estaba un poco ácido.,9,POS
Spanish,Ankara,Hotel Ickale,"muy buen ubicado, limpio y excelente desayunos.",,9,POS
Spanish,Ankara,Hotel Ickale,"Todo, el hamman y el desayuno son muy buenos.",La ubicación de la foto desde dónde se ve el monumento a Atatur no la encontré. De resto todo genial.,9,POS
Spanish,Ankara,Hotel Ickale,nada,"limpieza era horrible,
sábanas pequeñas y muy viejas 
tuallas horrible 
la ducha no estaba limpia y todo con polvo 
no hay aire ni calor 
ni te plantees ir al baño sauna, es sucio y terrible 
no remiendo este hotel para nada",4,NEG
Spanish,Ankara,Hotel Ickale,Nos gustó que nos ofrecieron una habitación mejor que la que teníamos reservada. La cena en la habitación estaba muy buena y los chicos encargados de aparcar el coche y subir las maletas eran muy amables.,"Tardaron mucho en subir el papel higiénico que pedimos a recepción (unas 2 horas). Pedimos hielo con la cena y todavía lo estamos esperando. El desayuno de muy poca calidad y con muy pocas opciones. La chica del check out era muy borde.
Cabe añadir que el aire acondicionado de la suite casi no funciona. El frigorífico tampoco.",4,NEG
Spanish,Ankara,Hotel Ickale,El desayuno fue genial,"Era festivo religioso oso en Turquía y no nos avisaron que el spa estaría estado cerrado, con la sorpresa que nos llevamos que cuando llegamos nos lo dije el recepcionista ademas el servicio de aparcacoches es a medias ya que lo único que hacen es subirte el coche a la acera cuando te vas. Por que el coche se queda en la calle aparcado y no está muy claro que se pueda aparcar en esa zona",6,NEG
Spanish,Ankara,Hotel Ickale,La ubicación estaba bien.,"Es un hotel viejo, muy viejo. Sus instalaciones no dan la sensación de limpieza.",6,NEG
Spanish,Ankara,Hotel Ickale,Trato agradable de algunos de los trabajadores. Hotel muy bien situado muy cerca del centro para poder salir a visitar la ciudad,"Mobiliario muy antiguo. Estado de las instalaciones de la habitación (no funcionaba el termostato de la climatización, o te morias de frio o de calor, se caia el grifo del baño, la protección de la climatización, no llegaba el agua demasiado caliente a la ducha,...) Y a la salida nos quisieron cobrar cosas del minibar que no habiamos consumido.
Se metia el olor a tabaco por los aireadores de la habitación, la puerta de la terraza no cerraba bien, las toallas eran viejas y no parecían limpias, el personal del comedor se ponía a comer junto con los huéspedes, teniendo estos que guardar cola a que ellos terminaran, la calidad del desayuno dejaba que desear....
No creo que este hotel merezca 5 estrellas.",5,NEG
Spanish,Ankara,Hotel Ickale,La ubicación está bien si te gusta andar. Tardas más o menos 30min a cada lado. Nos dejaron un pronto check in,"El personal no era muy abierto a ayudar. 
El desayuno no es bufete, te dan un plato y te lo tomas con lo q lleva. 
+ - lejos de los lugares
Mausoleo 20min, kocatepe 40min, …",6,NEG
Spanish,Ankara,Inn 65 Budget,"Me gustó todo, super bonito, limpio, cómodo y en una zona muy animada, con un desayuno buffet genial",Nada,10,POS
Spanish,Ankara,Inn 65 Budget,Instalaciones de primer nivel con todo lo necesario para tener y buena estancia en Ankara,Teníamos que salir temprano para ir al aeropuerto y el desayuno no estaba listo a la hora que nos señalaron,9,POS
Spanish,Ankara,Inn 65 Budget,"Las habitaciones grandes y limpias 
El personal muy amable",Esta encima de un bar y había mucho ruido en la noche,9,POS
Spanish,Ankara,Inn 65 Budget,El desayuno sin dudas!,Algunas instalaciones del baño no estaban muy bien. Había un hueco encima del wáter.,9,POS
