Language,City Name,Hotel Name,Upside_Review,Downside_Review,Review_Score,Sentiment
Turkish,Ankara,The Green Park Ankara,Personeli kaliteli ve güler yüzlü gerisi teferruat 🥰🥰🥰,,10,POS
Turkish,Ankara,The Green Park Ankara,Gayet temiz ve konforluydu,,9,POS
Turkish,Ankara,The Green Park Ankara,ışık tamamen kapanmıyordu bu yüzden derin uyuyamadım,,4,NEG
Turkish,Ankara,The Green Park Ankara,oda da dayanılmaz bir kanalizasyon kokusu var. gece ayağım kesildi yara bandı istedim taze bitti dediler çarşaf nevresim kan olsun önemli değil dendi,,4,NEG
Turkish,Ankara,The Green Park Ankara,"kahvalti güzeldi fakat 5 yildizli bir otel icin yetersiz diyebilirim. kahvalti 4yildizdi 
yüzme havuzu güzeldi. temizdi ve büyüktü
temizlik personeli iyiydi. 
Restoranda hoşgeldiniz diyen Aleyna hanım, kahvaltıda omlet yapan hanımefendi ve odaları temizleyen abi hotelin yüz akları onlara ikramiye verin eyy otel yönetimi","özellikle resepsiyon ve bistroda kasada olan eleman olmak üzere cogu calisan COK yüzsüz, COK ilgisiz. gördügüm kadariyla bu sikayet 2 senedir de hep dile getiriliyor. otel yönetim bunu neden cözmüyor?
6 gün boyunca ne bir selam ne bir tesekkür, asla tenezzül etmediler. kimseden güler yüz beklemeyin - size fazlalikmissiniz gibi bakiyorlar. İnsan bir kere günaydın demez mi?!?! Sanki silah zoruyla çalışıyorlar
otelde turist yok denecek kadar az. sendikacilar vs toplantilar icin gelenler var sadece. cogu da erkek; kahvehaneye dönüyor otel",4,NEG
Turkish,Ankara,The Green Park Ankara,Konum olarak iyiydi. Odalar temizdi.,Covid 19 kuralları gereği yapılan değişiklikler konusunda bilgilendirme yapılmamış. Oraya gidince sürpriz ile karşılaşıyorsunuz. Pandemi koşulları adı altında dijital ortamda hazırlanıp sadece imzalanması gereken bir evrak için ortak alanı kullanıp herkesin temas ettiği malzemeleri kullanmaya zorluyorlar.,4,NEG
Turkish,Ankara,The Green Park Ankara,konumu,oda rezalet yatak 80 lerden kalma çok rahatsız,6,NEG
Turkish,Ankara,The Green Park Ankara,Genel olarak iyiydi.,Odaya girmeden tüm ödemeler önden alınıyor,6,NEG
Turkish,Ankara,The Green Park Ankara,Konumunu,"Delux oda olmasına rağmen oda küçüktü, lavabosu tıkalıydı",6,NEG
Turkish,Ankara,The Green Park Ankara,konum olarak benim icin iyi yanında banka hastane restoranlar avm herşey var kısacası.,kahvaltı servisi neredeyse sıfır. 2 kişiye 200 tl kahvaltı ücreti alıyolar ama bulaşıklar hijyenik ve temiz değil lekelerler dolu. spa katında havlular berbad kirli iyi yıkanmadığında masajda vurulan yağ hepsi havlularda yani yıkanıyosun çıkıyosun oh güzel ama havluyla bi kurulanıyosun beden olmuş yağ. havuz 28 derece gösteriyo ama 28den haberi yok. banyoda su gideri neredeyse sıfır. en ömemlisi televizyon kanallarında azerbeycen ve rus kanalları yok rusu anladıkta hani bir millet iki devlet? yani bunlar anlaşılan o ki lafta kalıyo. yani 4 yıldız otelde kaldım 3 ay önce geldiğiçde isim vermiycem bu dediklerim hepsi orada olan üstüydü.,5,NEG
